Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-427359,"SIRT1 negatively regulates rRNA expression",9,45,0.003158338012352611,9.318240504652131E-6,6.522768353256492E-4,3,5,4.062398440038999E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-427527;R-HSA-427514;R-HSA-427528"
R-HSA-912446,"Meiotic recombination",10,58,0.004070746771476699,1.0746106772874242E-5,6.555125131453288E-4,4,9,7.312317192070198E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;DMC1;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-912458;R-HSA-912503;R-HSA-912496;R-HSA-1214188"
R-HSA-5625886,"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",9,49,0.0034390791690061765,1.8113123141483278E-5,0.0010505611422060301,8,11,8.937276568085798E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-5625797;R-HSA-5625796;R-HSA-5625870;R-HSA-5625774;R-HSA-5625849;R-HSA-5625848;R-HSA-5625784;R-HSA-5625883"
R-HSA-110330,"Recognition and association of DNA glycosylase with site containing an affected purine",8,38,0.0026670409882088714,2.033141064095023E-5,0.0011182275852522627,2,9,7.312317192070198E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-9629195;R-HSA-9629373"
R-HSA-110329,"Cleavage of the damaged pyrimidine ",9,51,0.003579449747332959,2.467634806258001E-5,0.0012338174031290006,2,20,0.0016249593760155996,9606,Homo sapiens,"NEIL2;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-5649681;R-HSA-9629497"
R-HSA-73928,"Depyrimidination",9,51,0.003579449747332959,2.467634806258001E-5,0.0012338174031290006,4,41,0.003331166720831979,9606,Homo sapiens,"NEIL2;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-5649686;R-HSA-5649681;R-HSA-9629497;R-HSA-9629372"
R-HSA-606279,"Deposition of new CENPA-containing nucleosomes at the centromere",9,54,0.003790005614823133,3.824685938358385E-5,0.0017211086722612734,4,4,3.2499187520311994E-4,9606,Homo sapiens,"CENPX;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-606349;R-HSA-606287;R-HSA-606289;R-HSA-606326"
R-HSA-774815,"Nucleosome assembly",9,54,0.003790005614823133,3.824685938358385E-5,0.0017211086722612734,4,4,3.2499187520311994E-4,9606,Homo sapiens,"CENPX;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-606349;R-HSA-606287;R-HSA-606289;R-HSA-606326"
R-HSA-2299718,"Condensation of Prophase Chromosomes",9,55,0.0038601909039865244,4.398347280232251E-5,0.001891289330499868,8,10,8.124796880077998E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-2245218;R-HSA-2288097;R-HSA-2301205;R-HSA-2294580;R-HSA-2172678;R-HSA-2294600;R-HSA-2294574;R-HSA-2294590"
R-HSA-73927,"Depurination",8,45,0.003158338012352611,6.593800251719628E-5,0.0026375201006878513,4,18,0.0014624634384140397,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-9629216;R-HSA-9629483;R-HSA-9629195;R-HSA-9629373"
R-HSA-110331,"Cleavage of the damaged purine",8,45,0.003158338012352611,6.593800251719628E-5,0.0026375201006878513,2,9,7.312317192070198E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-9629216;R-HSA-9629483"
R-HSA-977225,"Amyloid fiber formation",11,88,0.006176305446378439,7.23212338035184E-5,0.0027482068845336993,3,33,0.002681182970425739,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;B2M;HIST1H2AC;ITM2B","","R-HSA-976734;R-HSA-977224;R-HSA-977136"
R-HSA-1474165,"Reproduction",13,123,0.008632790567097136,8.839610332234127E-5,0.003270655822926627,10,24,0.0019499512512187196,9606,Homo sapiens,"IZUMO4;HIST1H2BJ;HIST1H2BK;DMC1;ADAM9;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-912408;R-HSA-912458;R-HSA-1297275;R-HSA-1297338;R-HSA-912503;R-HSA-912470;R-HSA-912496;R-HSA-912467;R-HSA-1214188;R-HSA-912450"
R-HSA-73929,"Base-Excision Repair, AP Site Formation",9,61,0.004281302638966872,9.591715623447072E-5,0.003453017624440946,8,61,0.0049561260968475785,9606,Homo sapiens,"NEIL2;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-5649686;R-HSA-9629216;R-HSA-5649681;R-HSA-9629483;R-HSA-9629195;R-HSA-9629497;R-HSA-9629372;R-HSA-9629373"
R-HSA-5250924,"B-WICH complex positively regulates rRNA expression",9,62,0.004351487928130264,1.0825482177856394E-4,0.0037889187622497378,1,3,2.4374390640233994E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-5250938"
R-HSA-3214815,"HDACs deacetylate histones",9,63,0.004421673217293655,1.2189455372013658E-4,0.004022520272764507,4,4,3.2499187520311994E-4,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-3777129;R-HSA-3782637;R-HSA-3782655;R-HSA-3769447"
R-HSA-73772,"RNA Polymerase I Promoter Escape",9,64,0.004491858506457047,1.3694289323362696E-4,0.004382172583476063,1,2,1.6249593760155997E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-74986"
R-HSA-427413,"NoRC negatively regulates rRNA expression",10,80,0.005614823133071308,1.5258500021109178E-4,0.0045775500063327534,4,7,5.687357816054598E-4,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-427409;R-HSA-5227490;R-HSA-433672;R-HSA-427337"
R-HSA-5250913,"Positive epigenetic regulation of rRNA expression",10,80,0.005614823133071308,1.5258500021109178E-4,0.0045775500063327534,4,7,5.687357816054598E-4,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-427383;R-HSA-5250938;R-HSA-427404;R-HSA-427336"
R-HSA-5625740,"RHO GTPases activate PKNs",10,80,0.005614823133071308,1.5258500021109178E-4,0.0045775500063327534,9,20,0.0016249593760155996,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;SFN;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-5625797;R-HSA-5625796;R-HSA-75016;R-HSA-5625870;R-HSA-5625774;R-HSA-5625849;R-HSA-5625848;R-HSA-5625784;R-HSA-5625883"
R-HSA-9617828,"FOXO-mediated transcription of cell cycle genes",6,27,0.0018950028074115664,1.6587965437664387E-4,0.004715654966749305,7,22,0.0017874553136171597,9606,Homo sapiens,"CDKN1A;CDKN1B;FOXG1","","R-HSA-9617840;R-HSA-6803411;R-HSA-9618004;R-HSA-9618021;R-HSA-9617848;R-HSA-6803403;R-HSA-9617838"
R-HSA-5578749,"Transcriptional regulation by small RNAs",10,81,0.0056850084222346995,1.684162488124752E-4,0.004715654966749305,1,5,4.062398440038999E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;POLR2I;HIST1H2AC","","R-HSA-5578742"
R-HSA-73884,"Base Excision Repair",11,98,0.006878158338012353,1.8276753652313182E-4,0.004934723486124559,23,104,0.008449788755281119,9606,Homo sapiens,"POLD4;NEIL2;HIST1H2BJ;PNKP;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-5649686;R-HSA-110368;R-HSA-110371;R-HSA-5649681;R-HSA-5649726;R-HSA-5649724;R-HSA-9629497;R-HSA-5649725;R-HSA-5651805;R-HSA-5649723;R-HSA-9629372;R-HSA-9629373;R-HSA-5649734;R-HSA-9629216;R-HSA-5649701;R-HSA-5651809;R-HSA-9629483;R-HSA-9629195;R-HSA-5649711;R-HSA-5649708;R-HSA-110363;R-HSA-110364;R-HSA-5649705"
R-HSA-201722,"Formation of the beta-catenin:TCF transactivating complex",9,67,0.004702414373947221,1.9169581529110413E-4,0.0049840911975687074,2,13,0.0010562235944101398,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-3364026;R-HSA-3451147"
R-HSA-381119,"Unfolded Protein Response (UPR)",14,155,0.01087871982032566,2.4017103894069525E-4,0.006244447012458076,59,94,0.007637309067273318,9606,Homo sapiens,"ERN1;MYDGF;EXTL2;XBP1;CREB3L1;PDIA6;HSP90B1","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791128;R-HSA-8953356;R-HSA-1791134;R-HSA-1791133;R-HSA-1791123;R-HSA-1791122;R-HSA-1791121;R-HSA-1791124;R-HSA-1791114;R-HSA-1791112;R-HSA-381203;R-HSA-1791116;R-HSA-1791108;R-HSA-1791163;R-HSA-1791167;R-HSA-381217;R-HSA-381091;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-1791156;R-HSA-381109;R-HSA-1791144;R-HSA-1791139;R-HSA-1791138;R-HSA-381116;R-HSA-1791137;R-HSA-1791143;R-HSA-1791066;R-HSA-1791064;R-HSA-1791071;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-8874184;R-HSA-1791060;R-HSA-1791177;R-HSA-8874194;R-HSA-1791054;R-HSA-8874193;R-HSA-1791169;R-HSA-1791172;R-HSA-8874212;R-HSA-1791096;R-HSA-1791102;R-HSA-1791088;R-HSA-1791092;R-HSA-8953336;R-HSA-1791083;R-HSA-1791084;R-HSA-1791075;R-HSA-1791076"
R-HSA-73854,"RNA Polymerase I Promoter Clearance",10,87,0.006106120157215048,2.953337654917343E-4,0.007383344137293357,3,10,8.124796880077998E-4,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-73718;R-HSA-73739;R-HSA-74986"
R-HSA-69615,"G1/S DNA Damage Checkpoints",9,72,0.0050533408197641775,3.2286982654872176E-4,0.008071745663718044,10,26,0.0021124471888202797,9606,Homo sapiens,"CDKN1A;CDKN1B;CCNE2;RPN2;CCNE1;CDKN2A;STT3A","","R-HSA-69600;R-HSA-6803411;R-HSA-69604;R-HSA-6804879;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6803403;R-HSA-264458;R-HSA-6803801"
R-HSA-5250941,"Negative epigenetic regulation of rRNA expression",10,89,0.00624649073554183,3.5229338920528264E-4,0.0081027479517215,7,12,9.749756256093598E-4,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-427527;R-HSA-427409;R-HSA-427514;R-HSA-5227490;R-HSA-433672;R-HSA-427528;R-HSA-427337"
R-HSA-73864,"RNA Polymerase I Transcription",10,89,0.00624649073554183,3.5229338920528264E-4,0.0081027479517215,3,14,0.0011374715632109197,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-73718;R-HSA-73739;R-HSA-74986"
R-HSA-2262752,"Cellular responses to stress",32,568,0.03986524424480629,3.7170402101538436E-4,0.00854919248335384,57,197,0.016005849853753657,9606,Homo sapiens,"CDKN1A;GPX1;CDKN1B;CDKN2C;RPN2;HIST1H2BJ;CDKN2A;GSTP1;HSPA4L;HIST1H2BK;CYBB;CYBA;TCIRG1;LIMD1;CCNE2;CCNE1;RPS6KA2;RRAGD;HIST1H4I;HIST1H3H;P4HB;HIST1H2AC;ATP6V1C2","","R-HSA-8979082;R-HSA-3857328;R-HSA-9645598;R-HSA-3209151;R-HSA-3229089;R-HSA-9640195;R-HSA-3223200;R-HSA-1234179;R-HSA-1234177;R-HSA-1234183;R-HSA-9646468;R-HSA-3788705;R-HSA-5252041;R-HSA-187934;R-HSA-3788708;R-HSA-3229102;R-HSA-5251955;R-HSA-3209109;R-HSA-5251959;R-HSA-3209111;R-HSA-3200023;R-HSA-3209114;R-HSA-3786258;R-HSA-5251942;R-HSA-3323013;R-HSA-3209096;R-HSA-3209098;R-HSA-69562;R-HSA-9645608;R-HSA-5252079;R-HSA-182594;R-HSA-3341296;R-HSA-3785711;R-HSA-3240295;R-HSA-198746;R-HSA-1234163;R-HSA-6804998;R-HSA-6807557;R-HSA-6804996;R-HSA-3229138;R-HSA-9639286;R-HSA-3343700;R-HSA-6804879;R-HSA-4647594;R-HSA-1234173;R-HSA-4647593;R-HSA-3788745;R-HSA-3222593;R-HSA-9640167;R-HSA-3788748;R-HSA-1222376;R-HSA-4647613;R-HSA-9640168;R-HSA-9645672;R-HSA-9640175;R-HSA-1234159;R-HSA-71676"
R-HSA-1500620,"Meiosis",10,92,0.006457046603032005,4.547043477911572E-4,0.010003495651405458,8,15,0.0012187195320116997,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;DMC1;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-912408;R-HSA-912458;R-HSA-912503;R-HSA-912470;R-HSA-912496;R-HSA-912467;R-HSA-1214188;R-HSA-912450"
R-HSA-1221632,"Meiotic synapsis",8,62,0.004351487928130264,5.592664913469658E-4,0.011406102562814269,4,6,4.874878128046799E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-912408;R-HSA-912470;R-HSA-912467;R-HSA-912450"
R-HSA-8936459,"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",9,78,0.005474452554744526,5.703051281407134E-4,0.011406102562814269,20,33,0.002681182970425739,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-8936584;R-HSA-8936616;R-HSA-8937097;R-HSA-8937037;R-HSA-8936621;R-HSA-8936608;R-HSA-8936481;R-HSA-8936995;R-HSA-8937016;R-HSA-8937113;R-HSA-8937050;R-HSA-8935740;R-HSA-8936989;R-HSA-8937118;R-HSA-8937022;R-HSA-8935730;R-HSA-8936979;R-HSA-8935731;R-HSA-8936628;R-HSA-8936599"
R-HSA-157579,"Telomere Maintenance",9,78,0.005474452554744526,5.703051281407134E-4,0.011406102562814269,11,23,0.0018687032824179395,9606,Homo sapiens,"POLD4;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-174451;R-HSA-174448;R-HSA-174438;R-HSA-181450;R-HSA-174456;R-HSA-174441;R-HSA-174446;R-HSA-176702;R-HSA-176700;R-HSA-174444;R-HSA-174445"
R-HSA-8953897,"Cellular responses to external stimuli",32,586,0.041128579449747335,6.259513215052248E-4,0.012519026430104496,57,228,0.018524536886577837,9606,Homo sapiens,"CDKN1A;GPX1;CDKN1B;CDKN2C;RPN2;HIST1H2BJ;CDKN2A;GSTP1;HSPA4L;HIST1H2BK;CYBB;CYBA;TCIRG1;LIMD1;CCNE2;CCNE1;RPS6KA2;RRAGD;HIST1H4I;HIST1H3H;P4HB;HIST1H2AC;ATP6V1C2","","R-HSA-8979082;R-HSA-3857328;R-HSA-9645598;R-HSA-3209151;R-HSA-3229089;R-HSA-9640195;R-HSA-3223200;R-HSA-1234179;R-HSA-1234177;R-HSA-1234183;R-HSA-9646468;R-HSA-3788705;R-HSA-5252041;R-HSA-187934;R-HSA-3788708;R-HSA-3229102;R-HSA-5251955;R-HSA-3209109;R-HSA-5251959;R-HSA-3209111;R-HSA-3200023;R-HSA-3209114;R-HSA-3786258;R-HSA-5251942;R-HSA-3323013;R-HSA-3209096;R-HSA-3209098;R-HSA-69562;R-HSA-9645608;R-HSA-5252079;R-HSA-182594;R-HSA-3341296;R-HSA-3785711;R-HSA-3240295;R-HSA-198746;R-HSA-1234163;R-HSA-6804998;R-HSA-6807557;R-HSA-6804996;R-HSA-3229138;R-HSA-9639286;R-HSA-3343700;R-HSA-6804879;R-HSA-4647594;R-HSA-1234173;R-HSA-4647593;R-HSA-3788745;R-HSA-3222593;R-HSA-9640167;R-HSA-3788748;R-HSA-1222376;R-HSA-4647613;R-HSA-9640168;R-HSA-9645672;R-HSA-9640175;R-HSA-1234159;R-HSA-71676"
R-HSA-69560,"Transcriptional activation of p53 responsive genes  ",3,6,4.211117349803481E-4,7.812189003645331E-4,0.01484315910692613,4,5,4.062398440038999E-4,9606,Homo sapiens,"CDKN1A","","R-HSA-6803411;R-HSA-6803388;R-HSA-6803403;R-HSA-6803801"
R-HSA-69895,"Transcriptional  activation of  cell cycle inhibitor p21 ",3,6,4.211117349803481E-4,7.812189003645331E-4,0.01484315910692613,4,5,4.062398440038999E-4,9606,Homo sapiens,"CDKN1A","","R-HSA-6803411;R-HSA-6803388;R-HSA-6803403;R-HSA-6803801"
R-HSA-381070,"IRE1alpha activates chaperones",10,101,0.007088714205502527,9.1993247741462E-4,0.01747871707087778,53,53,0.004306142346441339,9606,Homo sapiens,"ERN1;MYDGF;EXTL2;XBP1;PDIA6","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791128;R-HSA-8953356;R-HSA-1791134;R-HSA-1791133;R-HSA-1791123;R-HSA-1791122;R-HSA-1791124;R-HSA-1791114;R-HSA-1791112;R-HSA-381203;R-HSA-1791116;R-HSA-1791108;R-HSA-1791167;R-HSA-381217;R-HSA-381091;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-1791156;R-HSA-381109;R-HSA-1791144;R-HSA-1791139;R-HSA-1791138;R-HSA-381116;R-HSA-1791137;R-HSA-1791143;R-HSA-1791066;R-HSA-1791064;R-HSA-1791071;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-1791060;R-HSA-1791177;R-HSA-1791054;R-HSA-1791169;R-HSA-1791172;R-HSA-1791096;R-HSA-1791102;R-HSA-1791088;R-HSA-1791092;R-HSA-8953336;R-HSA-1791083;R-HSA-1791084;R-HSA-1791075;R-HSA-1791076"
