ID,Description,GeneRatio,n,N,BgRatio,b,B,pvalue,p.adjust,qvalue,geneID,Count,EnrichmentScore,group,status,sample
GO:0050767,regulation of neurogenesis,6/66,6,66,370/8253,370,8253,0.07442635088515895,0.5376531419930948,0.5326594595597223,HIF1A/MIB1/C21orf91/SERPINI1/MFSD2A/ZSWIM8,6,2.0277641277641276,GO BP,TE_up,U2932
GO:0008610,lipid biosynthetic process,6/66,6,66,383/8253,383,8253,0.08470842363865501,0.5376531419930948,0.5326594595597223,MSMO1/LPIN1/SCCPDH/MFSD2A/UGT8/FAR1,6,1.9589366247329694,GO BP,TE_up,U2932
GO:0031175,neuron projection development,7/66,7,66,469/8253,469,8253,0.0795197614944336,0.5376531419930948,0.5326594595597223,USP33/KIF3A/C21orf91/SERPINI1/MFSD2A/UGT8/ZSWIM8,7,1.8663500678426053,GO BP,TE_up,U2932
GO:0060284,regulation of cell development,6/66,6,66,421/8253,421,8253,0.11907278393253178,0.5376531419930948,0.5326594595597223,HIF1A/MIB1/C21orf91/SERPINI1/MFSD2A/ZSWIM8,6,1.782120492334269,GO BP,TE_up,U2932
GO:0006887,exocytosis,7/66,7,66,499/8253,499,8253,0.10228285120386114,0.5376531419930948,0.5326594595597223,GNS/VPS45/SDCBP/PREPL/SCCPDH/RAB11FIP1/CALM1,7,1.7541446529422482,GO BP,TE_up,U2932
GO:0010638,positive regulation of organelle organization,6/66,6,66,430/8253,430,8253,0.12811938304793016,0.5376531419930948,0.5326594595597223,HIF1A/MFN2/CLIP1/SDCBP/LMNA/GMFB,6,1.7448202959830867,GO BP,TE_up,U2932
GO:0045055,regulated exocytosis,6/66,6,66,430/8253,430,8253,0.12811938304793016,0.5376531419930948,0.5326594595597223,GNS/SDCBP/PREPL/SCCPDH/RAB11FIP1/CALM1,6,1.7448202959830867,GO BP,TE_up,U2932
GO:0007005,mitochondrion organization,6/66,6,66,431/8253,431,8253,0.12914518361907779,0.5376531419930948,0.5326594595597223,NDUFAF7/HIF1A/MFN2/AGTPBP1/LMNA/VPS13A,6,1.7407719890318498,GO BP,TE_up,U2932
GO:0045597,positive regulation of cell differentiation,6/66,6,66,434/8253,434,8253,0.13224700747800966,0.5376531419930948,0.5326594595597223,HIF1A/GCNT2/CD83/SDCBP/C21orf91/SERPINI1,6,1.7287390029325513,GO BP,TE_up,U2932
GO:0051640,organelle localization,6/66,6,66,466/8253,466,8253,0.16751752396120187,0.5457974769174069,0.5407281505064092,HIF1A/MFN2/KIF3A/DYNC1LI2/VPS45/CENPC,6,1.61002731174405,GO BP,TE_up,U2932
GO:0005911,cell-cell junction,7/67,7,67,189/8494,189,8494,6.803386494626416e-4,0.13606772989252833,0.12819012447769776,KRIT1/PKN2/SPECC1L/EIF4G2/SSX2IP/SDCBP/CD2AP,7,4.695411829740188,GO CC,TE_up,U2932
GO:0099513,polymeric cytoskeletal fiber,7/67,7,67,343/8494,343,8494,0.01791904705988668,0.29865078433144465,0.2813604757648873,SPECC1L/CLIP1/KIF3A/DYNC1LI2/LMNA/CD2AP/CALM1,7,2.5872677429180624,GO CC,TE_up,U2932
GO:0070161,anchoring junction,8/67,8,67,404/8494,404,8494,0.013642711667629037,0.29865078433144465,0.2813604757648873,KRIT1/PKN2/USP33/SPECC1L/EIF4G2/SSX2IP/SDCBP/CD2AP,8,2.5104182059997044,GO CC,TE_up,U2932
GO:0099512,supramolecular fiber,8/67,8,67,410/8494,410,8494,0.014804516400255563,0.29865078433144465,0.2813604757648873,SPECC1L/GLRX3/CLIP1/KIF3A/DYNC1LI2/LMNA/CD2AP/CALM1,8,2.473680378594831,GO CC,TE_up,U2932
GO:0099081,supramolecular polymer,8/67,8,67,411/8494,411,8494,0.015004995945730924,0.29865078433144465,0.2813604757648873,SPECC1L/GLRX3/CLIP1/KIF3A/DYNC1LI2/LMNA/CD2AP/CALM1,8,2.4676616915422884,GO CC,TE_up,U2932
GO:0005813,centrosome,8/67,8,67,461/8494,461,8494,0.027778797870344304,0.36560118607775766,0.34443480162062434,PKN2/USP33/MIB1/SSX2IP/CLIP1/KIF3A/DYNC1LI2/CALM1,8,2.200019425648331,GO CC,TE_up,U2932
GO:0099503,secretory vesicle,7/67,7,67,480/8494,480,8494,0.08279014040290783,0.42214686079728897,0.3977067793827091,FNDC3A/GNS/VPS45/SDCBP/SCCPDH/SERPINI1/VPS13A,7,1.8488184079601988,GO CC,TE_up,U2932
GO:0030141,secretory granule,6/67,6,67,412/8494,412,8494,0.10519380436710397,0.42214686079728897,0.3977067793827091,FNDC3A/GNS/SDCBP/SCCPDH/SERPINI1/VPS13A,6,1.8462541660628893,GO CC,TE_up,U2932
GO:0008270,zinc ion binding,10/65,10,65,438/8452,438,8452,0.0017348979807238823,0.20992265566758975,0.20818775768686587,USP33/MIB1/CPD/WBP4/CLIP1/AGTPBP1/KDM1B/SLFN11/CRIP1/ZSWIM8,10,2.9687390235335442,GO MF,TE_up,U2932
GO:0016491,oxidoreductase activity,6/65,6,65,395/8452,395,8452,0.08210688595795301,0.45323155963194184,0.4494858442630828,MSMO1/GLRX3/GPD2/SCCPDH/KDM1B/FAR1,6,1.9751509250243429,GO MF,TE_up,U2932
GO:0017111,nucleoside-triphosphatase activity,6/65,6,65,494/8452,494,8452,0.17812821578003388,0.4737036067996505,0.46978870095833114,MFN2/CHD6/RGS13/KIF3A/DYNC1LI2/SLFN11,6,1.579321083774525,GO MF,TE_up,U2932
GO:0120039,plasma membrane bounded cell projection morphogenesis,6/26,6,26,297/8253,297,8253,2.584972352837134e-4,0.055736237937396675,0.04518158404605153,RUFY3/PLEKHO1/DVL1/SOS1/PARP6/DVL3,6,6.4125874125874125,GO BP,mRNA_up,U2932
GO:0048858,cell projection morphogenesis,6/26,6,26,298/8253,298,8253,2.632509450589879e-4,0.055736237937396675,0.04518158404605153,RUFY3/PLEKHO1/DVL1/SOS1/PARP6/DVL3,6,6.391068662880744,GO BP,mRNA_up,U2932
GO:0032990,cell part morphogenesis,6/26,6,26,315/8253,315,8253,3.5521610584512167e-4,0.055736237937396675,0.04518158404605153,RUFY3/PLEKHO1/DVL1/SOS1/PARP6/DVL3,6,6.046153846153846,GO BP,mRNA_up,U2932
GO:0032989,cellular component morphogenesis,6/26,6,26,343/8253,343,8253,5.601631953507203e-4,0.055736237937396675,0.04518158404605153,RUFY3/PLEKHO1/DVL1/SOS1/PARP6/DVL3,6,5.552590266875982,GO BP,mRNA_up,U2932
GO:0031175,neuron projection development,7/26,7,26,469/8253,469,8253,4.6742031304134824e-4,0.055736237937396675,0.04518158404605153,RUFY3/DVL1/CCDC88A/SOS1/PARP6/DVL3/ARF4,7,4.737657864523536,GO BP,mRNA_up,U2932
GO:0000902,cell morphogenesis,6/26,6,26,470/8253,470,8253,0.0028633769897473617,0.10399981976394933,0.08430559311729825,RUFY3/PLEKHO1/DVL1/SOS1/PARP6/DVL3,6,4.052209492635025,GO BP,mRNA_up,U2932
GO:0051020,GTPase binding,6/27,6,27,358/8452,358,8452,7.690467093515881e-4,0.0303229026700382,0.0234697389086983,DVL1/CCDC88A/SOS1/BCAR3/DVL3/ARF4,6,5.24643078833023,GO MF,mRNA_up,U2932
