NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
ALDH2,ALDH2,null,null,0.19765595
SPRED2,SPRED2,null,null,0.19711533
IQCJ-SCHIP1,IQCJ-SCHIP1,null,null,0.19667439
DLG2,DLG2,null,null,0.19666946
SOX5,SOX5,null,null,0.19564608
TJP2,TJP2,null,null,0.19485964
DBN1,DBN1,null,null,0.1936783
HSF5,HSF5,null,null,0.19235171
AC104134.1,AC104134.1,null,null,0.192172
PAX8-AS1,PAX8-AS1,null,null,0.19038609
NLRP4,NLRP4,null,null,0.18998761
CAMSAP3,CAMSAP3,null,null,0.18794332
LEF1,LEF1,null,null,0.18789956
IGHM,IGHM,null,null,0.18736422
NSG1,NSG1,null,null,0.18627138
AP1S3,AP1S3,null,null,0.18589015
UTY,UTY,null,null,0.18517606
EDRF1-AS1,EDRF1-AS1,null,null,0.18508695
AC244205.2,AC244205.2,null,null,0.18469243
SLC30A4,SLC30A4,null,null,0.18452917
PIANP,PIANP,null,null,0.18439022
SIGLEC10,SIGLEC10,null,null,0.18433948
AC072022.1,AC072022.1,null,null,0.18392324
THNSL1,THNSL1,null,null,0.18300204
SCHIP1,SCHIP1,null,null,0.18191747
C3orf14,C3orf14,null,null,0.18167166
AC009041.2,AC009041.2,null,null,0.18067928
PRKY,PRKY,null,null,0.18054241
MAST1,MAST1,null,null,0.18044972
WWC1,WWC1,null,null,0.17939258
SLC7A3,SLC7A3,null,null,0.17816067
TPM2,TPM2,null,null,0.17813207
BCL6,BCL6,null,null,0.17802805
KIF5C,KIF5C,null,null,0.1779273
KCTD3,KCTD3,null,null,0.17773008
AC023590.1,AC023590.1,null,null,0.17681144
AC026471.4,AC026471.4,null,null,0.17662117
PPP1R14C,PPP1R14C,null,null,0.1763905
CAB39L,CAB39L,null,null,0.17462213
MPP7,MPP7,null,null,0.17445552
PDGFD,PDGFD,null,null,0.17433915
RAPGEF5,RAPGEF5,null,null,0.17399265
GABRB2,GABRB2,null,null,0.1734325
ZBTB42,ZBTB42,null,null,0.1729099
ZNF841,ZNF841,null,null,0.17272374
H1FX-AS1,H1FX-AS1,null,null,0.17182222
AC092821.1,AC092821.1,null,null,0.17133482
NCR3LG1,NCR3LG1,null,null,0.17117284
MICU3,MICU3,null,null,0.17107852
RGS2,RGS2,null,null,0.17097369
PRKAR2B,PRKAR2B,null,null,0.17032774
LZTS1,LZTS1,null,null,0.169805
AC023510.2,AC023510.2,null,null,0.16915943
KANK1,KANK1,null,null,0.16899069
AC004847.1,AC004847.1,null,null,0.1682068
CCDC102A,CCDC102A,null,null,0.1678244
OBSCN,OBSCN,null,null,0.16782174
ASB2,ASB2,null,null,0.16753915
IGLJ3,IGLJ3,null,null,0.16677152
CORO2A,CORO2A,null,null,0.166421
DENND4C,DENND4C,null,null,0.16635716
FMNL2,FMNL2,null,null,0.16551828
SPN,SPN,null,null,0.16511442
MYBL1,MYBL1,null,null,0.16400199
AL137129.1,AL137129.1,null,null,0.16341352
EIF2AK3,EIF2AK3,null,null,0.163399
AC012358.3,AC012358.3,null,null,0.16299817
OVGP1,OVGP1,null,null,0.1629707
EML6,EML6,null,null,0.1629043
IRS2,IRS2,null,null,0.16206707
FCRLB,FCRLB,null,null,0.16193739
FAM222A,FAM222A,null,null,0.16090623
DENND1B,DENND1B,null,null,0.16064292
RTKN2,RTKN2,null,null,0.1599811
CPXM1,CPXM1,null,null,0.15996608
PPP1R26,PPP1R26,null,null,0.15980707
WAC-AS1,WAC-AS1,null,null,0.15977605
AL512631.1,AL512631.1,null,null,0.15974051
AC129492.1,AC129492.1,null,null,0.15909564
OXTR,OXTR,null,null,0.15907335
DIPK1B,DIPK1B,null,null,0.15892735
PRDM10,PRDM10,null,null,0.15891382
KLHL6,KLHL6,null,null,0.15851837
IRAK1BP1,IRAK1BP1,null,null,0.15770751
ARL4A,ARL4A,null,null,0.15715867
KCNQ1,KCNQ1,null,null,0.15676938
ZNF665,ZNF665,null,null,0.15667655
AC002996.1,AC002996.1,null,null,0.15652175
RIBC2,RIBC2,null,null,0.15652047
CRAMP1,CRAMP1,null,null,0.15596576
TMEFF1,TMEFF1,null,null,0.15596542
ZSCAN18,ZSCAN18,null,null,0.15596257
AC025279.1,AC025279.1,null,null,0.15577598
IGFBP2,IGFBP2,null,null,0.15576388
SMAD9,SMAD9,null,null,0.1556401
NLRP11,NLRP11,null,null,0.1553145
ZNF432,ZNF432,null,null,0.15512182
TNFSF8,TNFSF8,null,null,0.15512036
CAVIN4,CAVIN4,null,null,0.15493557
MAFA,MAFA,null,null,0.15486158
ZFY,ZFY,null,null,0.15483238
Mar-01,Mar-01,null,null,0.1547552
AC025423.2,AC025423.2,null,null,0.15450308
GOLGA8A,GOLGA8A,null,null,0.15450248
CABP4,CABP4,null,null,0.15431781
AC135983.2,AC135983.2,null,null,0.15409213
UBXN2A,UBXN2A,null,null,0.15385818
CCDC74A,CCDC74A,null,null,0.15377131
KIF27,KIF27,null,null,0.15371352
KIF5A,KIF5A,null,null,0.15365578
ZFAND4,ZFAND4,null,null,0.15358816
AL354956.1,AL354956.1,null,null,0.15351234
MSANTD3-TMEFF1,MSANTD3-TMEFF1,null,null,0.15329422
ADAMTS2,ADAMTS2,null,null,0.15312123
AC025917.1,AC025917.1,null,null,0.15299278
GTF2IRD1,GTF2IRD1,null,null,0.15297766
MOB1B,MOB1B,null,null,0.15275586
C1orf167,C1orf167,null,null,0.1524398
SNX29P2,SNX29P2,null,null,0.15210357
COL5A1,COL5A1,null,null,0.15163028
PHLPP2,PHLPP2,null,null,0.15149048
QPCT,QPCT,null,null,0.15110691
THBS2,THBS2,null,null,0.15077987
FAM111B,FAM111B,null,null,0.15073101
ZNF302,ZNF302,null,null,0.15066023
CDC40,CDC40,null,null,0.15027092
NT5C2,NT5C2,null,null,0.14960517
SYTL2,SYTL2,null,null,0.149042
DIP2C,DIP2C,null,null,0.14851949
PTCH1,PTCH1,null,null,0.14846832
FGD6,FGD6,null,null,0.14823982
KDM5D,KDM5D,null,null,0.14797756
SPIRE2,SPIRE2,null,null,0.14789294
SOX8,SOX8,null,null,0.14750193
TG,TG,null,null,0.14710648
CLDN23,CLDN23,null,null,0.14699984
AL645941.3,AL645941.3,null,null,0.14669618
ACBD7,ACBD7,null,null,0.14650199
PPM1E,PPM1E,null,null,0.14606279
U62631.1,U62631.1,null,null,0.14599895
NXPH4,NXPH4,null,null,0.14568412
SULF1,SULF1,null,null,0.14526466
LPGAT1,LPGAT1,null,null,0.14509234
IGLC2,IGLC2,null,null,0.1449988
BNIP3,BNIP3,null,null,0.14484705
ZNF469,ZNF469,null,null,0.14470638
CPNE7,CPNE7,null,null,0.14459294
KIAA1211,KIAA1211,null,null,0.14454724
PSPHP1,PSPHP1,null,null,0.14424925
AL031708.1,AL031708.1,null,null,0.1437658
RMDN2,RMDN2,null,null,0.14359796
TEAD4,TEAD4,null,null,0.14345717
MEGF9,MEGF9,null,null,0.14340699
SLC25A43,SLC25A43,null,null,0.14333077
ZNF708,ZNF708,null,null,0.14317629
CCDC88A,CCDC88A,null,null,0.14305371
SH3YL1,SH3YL1,null,null,0.14294498
TC2N,TC2N,null,null,0.1428736
MIR1304,MIR1304,null,null,0.14282905
AC090114.2,AC090114.2,null,null,0.14276078
RCOR2,RCOR2,null,null,0.1425481
ASRGL1,ASRGL1,null,null,0.14248095
CPM,CPM,null,null,0.14242719
BLOC1S6,BLOC1S6,null,null,0.14208318
TMEM156,TMEM156,null,null,0.14052875
AC023906.3,AC023906.3,null,null,0.14038302
GPR160,GPR160,null,null,0.14034802
NBPF1,NBPF1,null,null,0.1395586
GATD3A,GATD3A,null,null,0.13930821
SLC16A6,SLC16A6,null,null,0.13920887
AC135050.6,AC135050.6,null,null,0.13880853
FAM81A,FAM81A,null,null,0.1386759
CNNM2,CNNM2,null,null,0.13865308
ZSCAN12,ZSCAN12,null,null,0.13861082
EIF2AK3-DT,EIF2AK3-DT,null,null,0.13857065
LMO7,LMO7,null,null,0.13842957
CCNYL1,CCNYL1,null,null,0.13804935
AL358113.1,AL358113.1,null,null,0.13790557
APCDD1,APCDD1,null,null,0.1378036
PDZD2,PDZD2,null,null,0.1377969
BRSK1,BRSK1,null,null,0.13772191
FAM8A1,FAM8A1,null,null,0.13768168
DDX59,DDX59,null,null,0.1376148
HMGN2P46,HMGN2P46,null,null,0.13696803
ESYT2,ESYT2,null,null,0.13696072
DYRK3,DYRK3,null,null,0.136918
AL158835.3,AL158835.3,null,null,0.13655584
ADCY9,ADCY9,null,null,0.13649061
COL9A3,COL9A3,null,null,0.13641828
LRP6,LRP6,null,null,0.13628574
MSH3,MSH3,null,null,0.1362455
ZNF395,ZNF395,null,null,0.13596378
AC104117.2,AC104117.2,null,null,0.13565034
NBPF3,NBPF3,null,null,0.13556936
AC008750.1,AC008750.1,null,null,0.13547443
NKX6-3,NKX6-3,null,null,0.13511242
IRS1,IRS1,null,null,0.13484904
RIMKLB,RIMKLB,null,null,0.13473299
BPTFP1,BPTFP1,null,null,0.13469633
DYNLT3,DYNLT3,null,null,0.13467275
GTF2H3,GTF2H3,null,null,0.13461329
TRAF3IP2,TRAF3IP2,null,null,0.13432398
SVIP,SVIP,null,null,0.13419384
AC009065.8,AC009065.8,null,null,0.13418247
DFFB,DFFB,null,null,0.1334658
ASPM,ASPM,null,null,0.133203
HDGFL3,HDGFL3,null,null,0.1331866
CFAP45,CFAP45,null,null,0.13270062
JPH3,JPH3,null,null,0.13260357
FAM83H,FAM83H,null,null,0.1322756
GOLGA8B,GOLGA8B,null,null,0.1321899
PITPNC1,PITPNC1,null,null,0.13199706
ANKRD36BP2,ANKRD36BP2,null,null,0.13196483
ZNF135,ZNF135,null,null,0.13186261
RINL,RINL,null,null,0.13181601
PTK7,PTK7,null,null,0.13179918
CXorf21,CXorf21,null,null,0.13169941
CASP8AP2,CASP8AP2,null,null,0.13164006
TUT7,TUT7,null,null,0.13156945
ZNF594,ZNF594,null,null,0.13143651
C8orf37,C8orf37,null,null,0.13112019
ZNF415,ZNF415,null,null,0.13108428
NOXA1,NOXA1,null,null,0.13091601
ZNF721,ZNF721,null,null,0.13088343
B3GALNT1,B3GALNT1,null,null,0.13071842
FZD1,FZD1,null,null,0.13064454
CCDC78,CCDC78,null,null,0.13055383
ATP6V1FNB,ATP6V1FNB,null,null,0.1305306
ADCY10P1,ADCY10P1,null,null,0.13052876
SLC25A27,SLC25A27,null,null,0.1305144
BEND4,BEND4,null,null,0.13046701
RASA3,RASA3,null,null,0.13022271
LOX,LOX,null,null,0.13015065
ZNF92,ZNF92,null,null,0.1300951
ZNF75A,ZNF75A,null,null,0.12999237
CPT1A,CPT1A,null,null,0.12989375
KIAA1586,KIAA1586,null,null,0.12981308
RAD17,RAD17,null,null,0.12965922
AKAP10,AKAP10,null,null,0.12964076
CCDC69,CCDC69,null,null,0.1296017
LACC1,LACC1,null,null,0.12955222
DOCK8,DOCK8,null,null,0.12954535
OMA1,OMA1,null,null,0.12938082
AC018647.2,AC018647.2,null,null,0.12903118
DAB1,DAB1,null,null,0.12884025
PXK,PXK,null,null,0.12862533
ADGRD1,ADGRD1,null,null,0.12855874
KCNMB4,KCNMB4,null,null,0.12851855
CYB5A,CYB5A,null,null,0.12842669
AC004540.2,AC004540.2,null,null,0.12825803
SERINC5,SERINC5,null,null,0.1279845
ACCS,ACCS,null,null,0.12786505
RSPH14,RSPH14,null,null,0.12775007
NUDT11,NUDT11,null,null,0.12774062
AC092117.1,AC092117.1,null,null,0.12752877
ALKBH3,ALKBH3,null,null,0.12748402
A2ML1-AS1,A2ML1-AS1,null,null,0.12745056
AC025423.4,AC025423.4,null,null,0.127434
SERPINA9,SERPINA9,null,null,0.12737677
GTF2IP4,GTF2IP4,null,null,0.12737232
SNX10,SNX10,null,null,0.1273639
FBXO16,FBXO16,null,null,0.1273333
ITGA4,ITGA4,null,null,0.12724513
BACH2,BACH2,null,null,0.12720644
PLD4,PLD4,null,null,0.12695014
RPS6KC1,RPS6KC1,null,null,0.1268894
LILRA2,LILRA2,null,null,0.12688129
KAT2B,KAT2B,null,null,0.12676829
APOC2,APOC2,null,null,0.12667471
SLA,SLA,null,null,0.1266127
AC026904.1,AC026904.1,null,null,0.12653719
WNT5B,WNT5B,null,null,0.12647843
AGMAT,AGMAT,null,null,0.12619239
WDR45BP1,WDR45BP1,null,null,0.12619182
BRI3BP,BRI3BP,null,null,0.12587386
AC010615.2,AC010615.2,null,null,0.12580281
ID4,ID4,null,null,0.12574232
KCTD9,KCTD9,null,null,0.12567087
ZDHHC2,ZDHHC2,null,null,0.12563148
PFKFB2,PFKFB2,null,null,0.12562044
FO704657.1,FO704657.1,null,null,0.12538026
EIF5A2,EIF5A2,null,null,0.125132
TFCP2L1,TFCP2L1,null,null,0.12500134
APOC4-APOC2,APOC4-APOC2,null,null,0.12483115
KCNN3,KCNN3,null,null,0.12470788
SORL1,SORL1,null,null,0.12468487
SLC15A2,SLC15A2,null,null,0.124625616
CAPN7,CAPN7,null,null,0.12456397
PHF6,PHF6,null,null,0.12431821
HLTF,HLTF,null,null,0.12417772
CCDC18,CCDC18,null,null,0.12367207
AC133065.2,AC133065.2,null,null,0.1236487
ODR4,ODR4,null,null,0.12346259
AL928654.4,AL928654.4,null,null,0.123352855
ZNF329,ZNF329,null,null,0.123219915
ANKRD36,ANKRD36,null,null,0.12320947
ZNF718,ZNF718,null,null,0.1231798
GNAZ,GNAZ,null,null,0.123171106
AIDA,AIDA,null,null,0.123105
MGAT3,MGAT3,null,null,0.122714296
WNT5A,WNT5A,null,null,0.12268112
ZNRF2,ZNRF2,null,null,0.12247265
DPY19L1,DPY19L1,null,null,0.122459896
ZSWIM6,ZSWIM6,null,null,0.122219615
AL121787.1,AL121787.1,null,null,0.12202677
SLC9A3-AS1,SLC9A3-AS1,null,null,0.12201141
IGLV2-23,IGLV2-23,null,null,0.12187954
AC012184.1,AC012184.1,null,null,0.121835686
ERBIN,ERBIN,null,null,0.12176598
ARRDC3,ARRDC3,null,null,0.12175346
ZNF441,ZNF441,null,null,0.12143445
CSMD1,CSMD1,null,null,0.12131672
ATP11A,ATP11A,null,null,0.121152475
ZNF615,ZNF615,null,null,0.12098179
NCMAP-DT,NCMAP-DT,null,null,0.12087042
TLR10,TLR10,null,null,0.12077539
YEATS2-AS1,YEATS2-AS1,null,null,0.12057955
AC022150.2,AC022150.2,null,null,0.120525464
AOX2P,AOX2P,null,null,0.12048391
SMAD6,SMAD6,null,null,0.120407745
CPLX1,CPLX1,null,null,0.12002033
AC091152.2,AC091152.2,null,null,0.119949155
NEDD4L,NEDD4L,null,null,0.11992655
HECTD1,HECTD1,null,null,0.1198949
DAPP1,DAPP1,null,null,0.11986908
ZNF137P,ZNF137P,null,null,0.11986724
USF3,USF3,null,null,0.11985071
MAP10,MAP10,null,null,0.11968687
ZNF331,ZNF331,null,null,0.1196135
SMG1P7,SMG1P7,null,null,0.119500875
PHF2,PHF2,null,null,0.11912707
SENP6,SENP6,null,null,0.11908179
EEF2K,EEF2K,null,null,0.11901756
GAMT,GAMT,null,null,0.119001366
COPZ2,COPZ2,null,null,0.11898555
AC079594.2,AC079594.2,null,null,0.11892356
AC009139.2,AC009139.2,null,null,0.11879264
RPS10P7,RPS10P7,null,null,0.11872496
AC087276.2,AC087276.2,null,null,0.11859174
AC069503.1,AC069503.1,null,null,0.11851657
RAB15,RAB15,null,null,0.11841987
MTHFR,MTHFR,null,null,0.1183848
ZNF782,ZNF782,null,null,0.11833579
TRPM7,TRPM7,null,null,0.118217774
TAF4B,TAF4B,null,null,0.11817745
AP006621.3,AP006621.3,null,null,0.11816031
CTBP1-DT,CTBP1-DT,null,null,0.118154004
ULK2,ULK2,null,null,0.118146166
ZNF30,ZNF30,null,null,0.118135944
ARL6,ARL6,null,null,0.11811045
JAZF1,JAZF1,null,null,0.11810981
AICDA,AICDA,null,null,0.11807147
RASL10B,RASL10B,null,null,0.11801451
RNU4-5P,RNU4-5P,null,null,0.117929086
IGF2BP1,IGF2BP1,null,null,0.117848806
RASGRP1,RASGRP1,null,null,0.117832
PLCL2,PLCL2,null,null,0.11776643
KCTD20,KCTD20,null,null,0.11755176
TOPBP1,TOPBP1,null,null,0.11751607
KLHL5,KLHL5,null,null,0.11748913
RNF32,RNF32,null,null,0.11748348
BRCA2,BRCA2,null,null,0.117378
MALT1,MALT1,null,null,0.11737265
CPLANE1,CPLANE1,null,null,0.1173442
ZNF577,ZNF577,null,null,0.117293425
CEP126,CEP126,null,null,0.11720557
F2R,F2R,null,null,0.11718701
AC109587.1,AC109587.1,null,null,0.116966575
MRPL19,MRPL19,null,null,0.11680397
CCNG1,CCNG1,null,null,0.116706006
LIMS1,LIMS1,null,null,0.11657551
METTL2B,METTL2B,null,null,0.11654853
PLEKHA5,PLEKHA5,null,null,0.11645274
LRRCC1,LRRCC1,null,null,0.116430975
INTS6L,INTS6L,null,null,0.11631909
CCDC91,CCDC91,null,null,0.116170324
MCM9,MCM9,null,null,0.11610277
AL356750.1,AL356750.1,null,null,0.11607455
ZNF354A,ZNF354A,null,null,0.116047226
PTPRC,PTPRC,null,null,0.11601066
XYLT1,XYLT1,null,null,0.11593903
STOX1,STOX1,null,null,0.115796454
ZNF106,ZNF106,null,null,0.11570645
CEND1,CEND1,null,null,0.11567971
CHI3L2,CHI3L2,null,null,0.115449995
TTC37,TTC37,null,null,0.115372255
COL12A1,COL12A1,null,null,0.11504967
TRBJ2-7,TRBJ2-7,null,null,0.11501188
CCNC,CCNC,null,null,0.11496807
MAP9,MAP9,null,null,0.11495855
HERPUD2,HERPUD2,null,null,0.11492915
AC008750.2,AC008750.2,null,null,0.11486095
CADM1,CADM1,null,null,0.11481052
MTMR12,MTMR12,null,null,0.11472098
HELQ,HELQ,null,null,0.11460012
NDUFA4L2,NDUFA4L2,null,null,0.11457239
AL138789.1,AL138789.1,null,null,0.114491016
AL133415.1,AL133415.1,null,null,0.114462644
DESI2,DESI2,null,null,0.114361316
NEK3,NEK3,null,null,0.1142737
IGHV4-34,IGHV4-34,null,null,0.11427361
AC096772.1,AC096772.1,null,null,0.11423241
ZNF829,ZNF829,null,null,0.11416082
ZNF790,ZNF790,null,null,0.11406522
AC011498.7,AC011498.7,null,null,0.11390099
EPB41L5,EPB41L5,null,null,0.113852106
SPATS2,SPATS2,null,null,0.11364773
AL023584.1,AL023584.1,null,null,0.11363727
AC016168.1,AC016168.1,null,null,0.11358505
PAIP1,PAIP1,null,null,0.11355267
ORC6,ORC6,null,null,0.11349227
CRHBP,CRHBP,null,null,0.113411754
PRKCI,PRKCI,null,null,0.11315631
CLIC4,CLIC4,null,null,0.11307163
LRRC37A3,LRRC37A3,null,null,0.1130334
GTF2IRD2,GTF2IRD2,null,null,0.113018215
TMCO3,TMCO3,null,null,0.113007106
FAM102B,FAM102B,null,null,0.112874515
AC099850.3,AC099850.3,null,null,0.11281875
PJVK,PJVK,null,null,0.11281653
OTUD1,OTUD1,null,null,0.11277913
GATAD1,GATAD1,null,null,0.112716675
DRD4,DRD4,null,null,0.11268587
DNAJC24,DNAJC24,null,null,0.11241023
CRLF3,CRLF3,null,null,0.11238657
PPIL4,PPIL4,null,null,0.1123413
CYP39A1,CYP39A1,null,null,0.112291686
RICTOR,RICTOR,null,null,0.11212575
THEM4,THEM4,null,null,0.11196445
AC087362.1,AC087362.1,null,null,0.11189732
ZNF549,ZNF549,null,null,0.11187701
TNRC6C-AS1,TNRC6C-AS1,null,null,0.11185813
AC079921.1,AC079921.1,null,null,0.11183451
GTF2IP1,GTF2IP1,null,null,0.11183133
SLC2A3P1,SLC2A3P1,null,null,0.11134255
DNAJC21,DNAJC21,null,null,0.111341216
ADPRHL1,ADPRHL1,null,null,0.111318
TOR4A,TOR4A,null,null,0.11124865
AP001273.1,AP001273.1,null,null,0.11124411
SCAT1,SCAT1,null,null,0.11118398
FGF11,FGF11,null,null,0.11112836
GJC1,GJC1,null,null,0.11101096
SDHAF4,SDHAF4,null,null,0.11087558
AC113189.4,AC113189.4,null,null,0.11086308
BLZF1,BLZF1,null,null,0.11084744
ZNF347,ZNF347,null,null,0.11081254
SGPP1,SGPP1,null,null,0.11077555
MT-TH,MT-TH,null,null,0.1107452
SNAI2,SNAI2,null,null,0.11067223
PNMA2,PNMA2,null,null,0.110611975
ABCA11P,ABCA11P,null,null,0.11058006
GDPD5,GDPD5,null,null,0.11045841
DCBLD1,DCBLD1,null,null,0.11038371
POSTN,POSTN,null,null,0.11035149
POLI,POLI,null,null,0.11024141
AC006435.2,AC006435.2,null,null,0.11015045
ZNF439,ZNF439,null,null,0.10983147
YEATS2,YEATS2,null,null,0.10966535
ITPR2,ITPR2,null,null,0.10965503
STAP1,STAP1,null,null,0.10964048
MT-TA,MT-TA,null,null,0.10959421
CD84,CD84,null,null,0.109562226
VIM-AS1,VIM-AS1,null,null,0.10950578
CKAP2L,CKAP2L,null,null,0.109475955
AF131215.5,AF131215.5,null,null,0.10946859
ZMYM5,ZMYM5,null,null,0.10931038
FRMPD3,FRMPD3,null,null,0.10923128
VCAN,VCAN,null,null,0.10913774
PLEKHF2,PLEKHF2,null,null,0.109121196
NIPA1,NIPA1,null,null,0.109023616
TMEM192,TMEM192,null,null,0.10888529
ZNF790-AS1,ZNF790-AS1,null,null,0.10878813
AC007298.1,AC007298.1,null,null,0.108679965
LIN9,LIN9,null,null,0.10864746
PRKD3,PRKD3,null,null,0.1086194
DIS3L,DIS3L,null,null,0.10858192
PRKCE,PRKCE,null,null,0.10857427
COL8A1,COL8A1,null,null,0.108419985
EOGT,EOGT,null,null,0.10822163
USP25,USP25,null,null,0.10818404
ZNF570,ZNF570,null,null,0.10815956
MIR302CHG,MIR302CHG,null,null,0.10808458
SMIM14,SMIM14,null,null,0.107997395
AL355075.2,AL355075.2,null,null,0.107990846
UFL1,UFL1,null,null,0.107921176
MEIOC,MEIOC,null,null,0.10791731
CEP162,CEP162,null,null,0.10774483
KLHL14,KLHL14,null,null,0.10774332
AC127024.5,AC127024.5,null,null,0.10774025
ZNF813,ZNF813,null,null,0.107723795
MYCBP2-AS1,MYCBP2-AS1,null,null,0.107640505
MAP3K13,MAP3K13,null,null,0.10759623
COL3A1,COL3A1,null,null,0.107588716
DLAT,DLAT,null,null,0.10744869
SNX30,SNX30,null,null,0.10735614
TRANK1,TRANK1,null,null,0.107261166
ZNF10,ZNF10,null,null,0.107259415
ZNF138,ZNF138,null,null,0.107169665
AC022384.1,AC022384.1,null,null,0.107112095
AC124798.1,AC124798.1,null,null,0.10711206
RB1CC1,RB1CC1,null,null,0.10698394
AC068896.1,AC068896.1,null,null,0.10691241
AP002358.1,AP002358.1,null,null,0.10690859
ASIC3,ASIC3,null,null,0.106848694
ZNF117,ZNF117,null,null,0.1068396
SMURF2P1,SMURF2P1,null,null,0.10666459
AC010761.2,AC010761.2,null,null,0.106567435
RALGAPA1,RALGAPA1,null,null,0.10647278
KIAA1841,KIAA1841,null,null,0.10646726
ZNF256,ZNF256,null,null,0.10633627
PP2D1,PP2D1,null,null,0.10633421
SNORA40,SNORA40,null,null,0.10632027
FOPNL,FOPNL,null,null,0.10623254
AC134407.3,AC134407.3,null,null,0.10622216
SCAF8,SCAF8,null,null,0.1061476
S1PR2,S1PR2,null,null,0.10607697
DHFR,DHFR,null,null,0.105952114
ZNF430,ZNF430,null,null,0.10594307
KPNA5,KPNA5,null,null,0.105923615
TIGD7,TIGD7,null,null,0.10581352
ZNF292,ZNF292,null,null,0.105801396
TAOK1,TAOK1,null,null,0.1058007
RIC1,RIC1,null,null,0.10579693
RNF144A,RNF144A,null,null,0.10574541
TANC2,TANC2,null,null,0.105715714
TMEM44,TMEM44,null,null,0.10569299
AP4S1,AP4S1,null,null,0.105687186
CYB5R4,CYB5R4,null,null,0.105623454
LEF1-AS1,LEF1-AS1,null,null,0.10559788
AC139795.2,AC139795.2,null,null,0.10558133
H1FX,H1FX,null,null,0.105567396
PIGCP1,PIGCP1,null,null,0.10555346
TERT,TERT,null,null,0.10546838
ITPRIPL2,ITPRIPL2,null,null,0.10546683
ICA1L,ICA1L,null,null,0.10530138
SNAPC1,SNAPC1,null,null,0.105282985
ZNF114,ZNF114,null,null,0.10520796
GK5,GK5,null,null,0.105159834
RFTN1,RFTN1,null,null,0.105125
AL138478.1,AL138478.1,null,null,0.10509144
MEF2C,MEF2C,null,null,0.10503668
CCSAP,CCSAP,null,null,0.105028264
PPM1L,PPM1L,null,null,0.10501908
HPS5,HPS5,null,null,0.10501667
AC027319.1,AC027319.1,null,null,0.104989946
MAP4K5,MAP4K5,null,null,0.10488865
TTC21B,TTC21B,null,null,0.10488678
AP000254.2,AP000254.2,null,null,0.10481277
RYR3,RYR3,null,null,0.10469835
ATAD5,ATAD5,null,null,0.10463618
SETBP1,SETBP1,null,null,0.104501925
SAMD7,SAMD7,null,null,0.104435414
FAM163B,FAM163B,null,null,0.10439729
JRKL,JRKL,null,null,0.10436232
CAND2,CAND2,null,null,0.10436099
GTF2IRD2B,GTF2IRD2B,null,null,0.10433789
KCNC4,KCNC4,null,null,0.104302324
RNFT1,RNFT1,null,null,0.10425385
AC006978.2,AC006978.2,null,null,0.10425153
CNTRL,CNTRL,null,null,0.10424282
MINDY2,MINDY2,null,null,0.10420993
AC113189.2,AC113189.2,null,null,0.10416121
PNMA1,PNMA1,null,null,0.10416009
C1orf220,C1orf220,null,null,0.10415368
AL365361.1,AL365361.1,null,null,0.10403517
