NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
MAP3K21,MAP3K21,null,null,0.2402171
EIF4EBP1,EIF4EBP1,null,null,0.23972674
AC244205.2,AC244205.2,null,null,0.23959522
C15orf61,C15orf61,null,null,0.23851757
NLN,NLN,null,null,0.2385115
SCAMP1,SCAMP1,null,null,0.23808399
KCTD12,KCTD12,null,null,0.23621014
TSEN2,TSEN2,null,null,0.23588607
UNC93B1,UNC93B1,null,null,0.23573789
F12,F12,null,null,0.23336005
SLC6A9,SLC6A9,null,null,0.2329857
GNPNAT1,GNPNAT1,null,null,0.23281758
EEF1AKMT4,EEF1AKMT4,null,null,0.23210722
LRFN4,LRFN4,null,null,0.230862
MET,MET,null,null,0.23000363
ADM,ADM,null,null,0.22999147
ARFGEF3,ARFGEF3,null,null,0.22978339
AC133961.1,AC133961.1,null,null,0.22964859
RSAD1,RSAD1,null,null,0.22719546
STS,STS,null,null,0.2262288
NR1D1,NR1D1,null,null,0.22608991
C2CD4A,C2CD4A,null,null,0.22547613
COCH,COCH,null,null,0.22546606
ALG3,ALG3,null,null,0.22538158
TMC5,TMC5,null,null,0.22383378
SSBP4,SSBP4,null,null,0.22363909
SIGMAR1,SIGMAR1,null,null,0.22142287
RPP40,RPP40,null,null,0.22124404
ANKRD36BP2,ANKRD36BP2,null,null,0.22121741
RRP12,RRP12,null,null,0.22022067
F2R,F2R,null,null,0.21978861
AL139317.3,AL139317.3,null,null,0.21973437
SNHG4,SNHG4,null,null,0.21953584
GLS2,GLS2,null,null,0.2182559
STC2,STC2,null,null,0.2178516
AL049830.3,AL049830.3,null,null,0.2177444
B4GAT1,B4GAT1,null,null,0.21678962
CREG1,CREG1,null,null,0.21631514
RPP25,RPP25,null,null,0.21611257
VLDLR,VLDLR,null,null,0.21548608
ACAT1,ACAT1,null,null,0.21502207
EDA2R,EDA2R,null,null,0.2148521
CTSF,CTSF,null,null,0.21451542
CDC42EP1,CDC42EP1,null,null,0.21448305
AC073957.2,AC073957.2,null,null,0.21295801
INTS13,INTS13,null,null,0.21282299
FZD5,FZD5,null,null,0.21232998
GPR146,GPR146,null,null,0.21212737
PLA2G12A,PLA2G12A,null,null,0.21211077
WHRN,WHRN,null,null,0.21175946
TBC1D16,TBC1D16,null,null,0.21101184
QDPR,QDPR,null,null,0.21100375
AC019257.8,AC019257.8,null,null,0.21096985
NR1D2,NR1D2,null,null,0.21030085
ADTRP,ADTRP,null,null,0.21022953
DEAF1,DEAF1,null,null,0.20976983
CTIF,CTIF,null,null,0.20969313
AC126696.2,AC126696.2,null,null,0.20956784
TMEM147-AS1,TMEM147-AS1,null,null,0.20918356
RABEPK,RABEPK,null,null,0.20889224
PACSIN3,PACSIN3,null,null,0.2085179
ADAT2,ADAT2,null,null,0.20838878
GALNT14,GALNT14,null,null,0.20822926
ECI2,ECI2,null,null,0.2061051
ZNF74,ZNF74,null,null,0.20574468
ABCA3,ABCA3,null,null,0.20506285
TM7SF3,TM7SF3,null,null,0.20477143
PFKM,PFKM,null,null,0.20464584
ITM2A,ITM2A,null,null,0.20424557
FBXL16,FBXL16,null,null,0.20383981
FJX1,FJX1,null,null,0.20346065
CD320,CD320,null,null,0.20329428
AK4,AK4,null,null,0.20317994
AL035458.2,AL035458.2,null,null,0.2030142
MLST8,MLST8,null,null,0.20296782
IFITM1,IFITM1,null,null,0.20295735
ENTR1,ENTR1,null,null,0.20291933
LPAR6,LPAR6,null,null,0.20272033
HOMER2,HOMER2,null,null,0.20253864
ADGRA3,ADGRA3,null,null,0.20230544
SLC9B2,SLC9B2,null,null,0.20173651
CPM,CPM,null,null,0.2015105
UCHL1,UCHL1,null,null,0.20054631
IFRD2,IFRD2,null,null,0.20050217
TRIM65,TRIM65,null,null,0.20007023
ST3GAL4,ST3GAL4,null,null,0.2000105
KATNB1,KATNB1,null,null,0.19977814
SLC16A10,SLC16A10,null,null,0.19931495
LRATD2,LRATD2,null,null,0.19893979
SLC19A1,SLC19A1,null,null,0.19868623
RPS6KA2,RPS6KA2,null,null,0.19849113
PALD1,PALD1,null,null,0.19798817
SLC6A6,SLC6A6,null,null,0.19766805
FERMT1,FERMT1,null,null,0.19759119
HEBP1,HEBP1,null,null,0.19714452
CLYBL,CLYBL,null,null,0.1965944
CYP2R1,CYP2R1,null,null,0.19656698
PDP2,PDP2,null,null,0.1962098
HDHD5,HDHD5,null,null,0.19617984
WDR35,WDR35,null,null,0.19611812
PKP4,PKP4,null,null,0.19602278
CENPV,CENPV,null,null,0.19586869
MACROD1,MACROD1,null,null,0.19511816
GPSM1,GPSM1,null,null,0.19501922
ETS2,ETS2,null,null,0.19399215
CMSS1,CMSS1,null,null,0.19388324
TWNK,TWNK,null,null,0.19311245
SFXN4,SFXN4,null,null,0.19271678
CYB5D1,CYB5D1,null,null,0.19224848
HES6,HES6,null,null,0.19213939
ALDH5A1,ALDH5A1,null,null,0.19189085
ANKRD34A,ANKRD34A,null,null,0.19175982
FNDC10,FNDC10,null,null,0.19134475
ADCY9,ADCY9,null,null,0.19092532
SMKR1,SMKR1,null,null,0.19065584
FAM241A,FAM241A,null,null,0.19007409
AC104581.4,AC104581.4,null,null,0.19003594
ACVR2B,ACVR2B,null,null,0.1899012
PRR5-ARHGAP8,PRR5-ARHGAP8,null,null,0.1898288
C6orf201,C6orf201,null,null,0.18958011
TMEM147,TMEM147,null,null,0.1895472
TMEM161A,TMEM161A,null,null,0.18885502
FAM216A,FAM216A,null,null,0.18872571
HAGHL,HAGHL,null,null,0.1886884
SBF2-AS1,SBF2-AS1,null,null,0.1886823
COLGALT1,COLGALT1,null,null,0.18863483
OBSCN,OBSCN,null,null,0.18821219
RENBP,RENBP,null,null,0.18819587
SLC39A3,SLC39A3,null,null,0.18783218
APBB2,APBB2,null,null,0.18780218
SUSD3,SUSD3,null,null,0.18771766
LSMEM2,LSMEM2,null,null,0.18763517
AP002433.2,AP002433.2,null,null,0.18750274
KCNQ5,KCNQ5,null,null,0.18704599
NRARP,NRARP,null,null,0.1867326
TTC22,TTC22,null,null,0.18666139
VLDLR-AS1,VLDLR-AS1,null,null,0.18641241
CISD3,CISD3,null,null,0.18553193
TFAP4,TFAP4,null,null,0.18491663
UTP25,UTP25,null,null,0.18462802
EEF1AKMT4-ECE2,EEF1AKMT4-ECE2,null,null,0.18450432
PEMT,PEMT,null,null,0.18443382
ISYNA1,ISYNA1,null,null,0.18413314
HSD17B8,HSD17B8,null,null,0.18397696
MAPKAPK3,MAPKAPK3,null,null,0.18373659
B9D1,B9D1,null,null,0.18355556
PNMA1,PNMA1,null,null,0.18338911
DTWD1,DTWD1,null,null,0.18305142
METTL8,METTL8,null,null,0.1829284
MME,MME,null,null,0.18284868
ISL2,ISL2,null,null,0.18275513
YBX3,YBX3,null,null,0.18257605
AC078883.1,AC078883.1,null,null,0.18244533
CD3EAP,CD3EAP,null,null,0.18243027
DLEU1,DLEU1,null,null,0.18238367
ALKBH2,ALKBH2,null,null,0.18186323
CCNB1IP1,CCNB1IP1,null,null,0.18183282
SLC29A2,SLC29A2,null,null,0.18171689
SRXN1,SRXN1,null,null,0.18140407
SLC30A1,SLC30A1,null,null,0.18069437
WDR74,WDR74,null,null,0.18030387
SLC7A5,SLC7A5,null,null,0.18000835
AL121758.1,AL121758.1,null,null,0.1795628
SLC43A1,SLC43A1,null,null,0.17941196
CARNMT1,CARNMT1,null,null,0.17923391
SLC27A2,SLC27A2,null,null,0.17918026
ZNF589,ZNF589,null,null,0.17914201
RHPN2,RHPN2,null,null,0.17910095
SPRYD4,SPRYD4,null,null,0.17872587
CD70,CD70,null,null,0.17859526
PDCD2L,PDCD2L,null,null,0.17856516
NDFIP1,NDFIP1,null,null,0.17839468
EPB41L4A-AS1,EPB41L4A-AS1,null,null,0.17820293
MAST1,MAST1,null,null,0.17813562
LYRM7,LYRM7,null,null,0.1779973
SLC3A2,SLC3A2,null,null,0.17792948
NLE1,NLE1,null,null,0.17786536
MIPEP,MIPEP,null,null,0.17784327
LINC00662,LINC00662,null,null,0.17683586
PRR5,PRR5,null,null,0.17674649
TNFSF13B,TNFSF13B,null,null,0.17671517
PRR7,PRR7,null,null,0.1761225
HSPG2,HSPG2,null,null,0.17601256
LINC02693,LINC02693,null,null,0.17555685
HK2,HK2,null,null,0.17501184
TMEM38B,TMEM38B,null,null,0.17473161
AHCY,AHCY,null,null,0.17431241
TRIP6,TRIP6,null,null,0.17410839
GCSH,GCSH,null,null,0.17364556
SLC12A7,SLC12A7,null,null,0.17354085
CHST4,CHST4,null,null,0.17353144
FARSB,FARSB,null,null,0.17345081
RBFA,RBFA,null,null,0.17313099
MINCR,MINCR,null,null,0.17297994
CDKN1A,CDKN1A,null,null,0.1728207
PTDSS2,PTDSS2,null,null,0.17220992
CCND2,CCND2,null,null,0.17213966
BCL2,BCL2,null,null,0.17201543
CPNE7,CPNE7,null,null,0.17196622
PDK1,PDK1,null,null,0.17168814
PC,PC,null,null,0.17125158
AL137060.1,AL137060.1,null,null,0.17050344
POLG2,POLG2,null,null,0.17009579
DDX31,DDX31,null,null,0.16974537
SRRD,SRRD,null,null,0.16959256
HSPB6,HSPB6,null,null,0.16941468
REXO2,REXO2,null,null,0.16939908
MTHFD1L,MTHFD1L,null,null,0.16928436
AP001160.1,AP001160.1,null,null,0.16925967
TIMM13,TIMM13,null,null,0.16921763
HBEGF,HBEGF,null,null,0.1691076
C12orf66,C12orf66,null,null,0.16896792
TRIAP1,TRIAP1,null,null,0.16870606
RHOBTB3,RHOBTB3,null,null,0.16820024
GUF1,GUF1,null,null,0.16815443
BCL2L11,BCL2L11,null,null,0.16797204
TIMM44,TIMM44,null,null,0.16783564
DCAF4,DCAF4,null,null,0.16782308
TRMT1,TRMT1,null,null,0.16773775
LINC01694,LINC01694,null,null,0.16772568
ASNS,ASNS,null,null,0.16680689
FAM13A,FAM13A,null,null,0.16679808
AC017002.6,AC017002.6,null,null,0.1664136
C12orf45,C12orf45,null,null,0.16639137
PIGL,PIGL,null,null,0.16630927
DUSP14,DUSP14,null,null,0.16629925
ASAH1,ASAH1,null,null,0.1662524
AC079781.5,AC079781.5,null,null,0.16609308
JAML,JAML,null,null,0.16607533
SLC39A4,SLC39A4,null,null,0.16606756
OXLD1,OXLD1,null,null,0.16605791
TMEM80,TMEM80,null,null,0.16581734
EXD2,EXD2,null,null,0.16565986
LETMD1,LETMD1,null,null,0.16561003
DNPH1,DNPH1,null,null,0.16560751
FCRLA,FCRLA,null,null,0.16559812
FITM2,FITM2,null,null,0.16542219
RPF2,RPF2,null,null,0.16533545
CHST10,CHST10,null,null,0.16532208
DNASE1,DNASE1,null,null,0.16516207
PAM16,PAM16,null,null,0.16493537
ENTPD6,ENTPD6,null,null,0.16481435
RNF149,RNF149,null,null,0.16479744
LINC00957,LINC00957,null,null,0.16461705
CFAP157,CFAP157,null,null,0.16453263
PTRH1,PTRH1,null,null,0.16441733
MYBBP1A,MYBBP1A,null,null,0.1639432
SDHAF3,SDHAF3,null,null,0.16374286
DHODH,DHODH,null,null,0.16374019
TRAP1,TRAP1,null,null,0.16366869
RGS16,RGS16,null,null,0.16349003
IQGAP2,IQGAP2,null,null,0.1634589
TNFSF8,TNFSF8,null,null,0.16331492
EXOSC5,EXOSC5,null,null,0.16320075
AC138028.2,AC138028.2,null,null,0.16307071
AC093323.1,AC093323.1,null,null,0.16298594
MFNG,MFNG,null,null,0.16260749
AC010442.1,AC010442.1,null,null,0.16222894
ADGRE2,ADGRE2,null,null,0.16199836
AC135050.2,AC135050.2,null,null,0.16171782
AL118516.1,AL118516.1,null,null,0.16165286
MCAT,MCAT,null,null,0.16131648
ANKS6,ANKS6,null,null,0.16093165
MRPS30,MRPS30,null,null,0.1608667
ZNF337-AS1,ZNF337-AS1,null,null,0.16085306
B4GALT2,B4GALT2,null,null,0.16082221
RELL2,RELL2,null,null,0.16069812
TSNARE1,TSNARE1,null,null,0.16060443
TXLNG,TXLNG,null,null,0.16054751
ZNF692,ZNF692,null,null,0.16045962
ATAD3B,ATAD3B,null,null,0.16036089
NTHL1,NTHL1,null,null,0.16030721
EBPL,EBPL,null,null,0.16024712
RNASEH1-AS1,RNASEH1-AS1,null,null,0.16010466
AC145207.4,AC145207.4,null,null,0.1600977
AC126283.2,AC126283.2,null,null,0.15941383
ACP6,ACP6,null,null,0.15906073
PSMG1,PSMG1,null,null,0.15905164
AL161452.1,AL161452.1,null,null,0.15904874
VKORC1,VKORC1,null,null,0.15864098
PAXIP1-AS1,PAXIP1-AS1,null,null,0.15848579
ABCC5,ABCC5,null,null,0.15821381
NEURL1,NEURL1,null,null,0.1579257
PNPT1,PNPT1,null,null,0.15788414
POLR1C,POLR1C,null,null,0.15767725
NOS3,NOS3,null,null,0.15730493
KAT2A,KAT2A,null,null,0.15701807
ADAM15,ADAM15,null,null,0.15697607
AARSD1,AARSD1,null,null,0.15695453
MLLT3,MLLT3,null,null,0.15683001
PIEZO1,PIEZO1,null,null,0.15676992
AL133467.1,AL133467.1,null,null,0.15667261
TIMM21,TIMM21,null,null,0.15649454
ANKLE1,ANKLE1,null,null,0.15622671
RNF213-AS1,RNF213-AS1,null,null,0.1561183
NOLC1,NOLC1,null,null,0.15600465
CLIP4,CLIP4,null,null,0.15513504
AC015802.6,AC015802.6,null,null,0.15498665
TMEM231,TMEM231,null,null,0.15485819
NPAS1,NPAS1,null,null,0.15462309
PRMT5-AS1,PRMT5-AS1,null,null,0.15451589
KTN1-AS1,KTN1-AS1,null,null,0.15440774
VPS9D1-AS1,VPS9D1-AS1,null,null,0.1543487
CENPX,CENPX,null,null,0.15427731
FBXL4,FBXL4,null,null,0.15419756
NARS,NARS,null,null,0.15416984
INTS10,INTS10,null,null,0.15414318
AC006538.2,AC006538.2,null,null,0.15409358
PSPH,PSPH,null,null,0.15409344
TUBE1,TUBE1,null,null,0.15396674
NANP,NANP,null,null,0.15392686
NCBP2AS2,NCBP2AS2,null,null,0.15389353
FYCO1,FYCO1,null,null,0.15386638
ZC3H8,ZC3H8,null,null,0.1538564
TMEM33,TMEM33,null,null,0.15377176
SLC9A3,SLC9A3,null,null,0.15357213
PTGR2,PTGR2,null,null,0.1534806
ATXN7L1,ATXN7L1,null,null,0.15323576
WDR3,WDR3,null,null,0.15323034
MPLKIP,MPLKIP,null,null,0.1530777
URI1,URI1,null,null,0.1530166
C11orf1,C11orf1,null,null,0.1530083
ISCA1,ISCA1,null,null,0.15296692
PTGES3L-AARSD1,PTGES3L-AARSD1,null,null,0.1528646
CUTC,CUTC,null,null,0.15285882
ZDHHC23,ZDHHC23,null,null,0.15274142
LYAR,LYAR,null,null,0.15268013
PRMT5,PRMT5,null,null,0.15231356
CTH,CTH,null,null,0.15224876
GSAP,GSAP,null,null,0.15195069
TRIM47,TRIM47,null,null,0.15192543
BOP1,BOP1,null,null,0.15160033
FKBP11,FKBP11,null,null,0.1515629
HOMER1,HOMER1,null,null,0.15135102
MAPKAPK5-AS1,MAPKAPK5-AS1,null,null,0.15107557
BOD1,BOD1,null,null,0.15106364
SBF2,SBF2,null,null,0.15065628
ENDOG,ENDOG,null,null,0.15042628
GATD1,GATD1,null,null,0.15036252
ATAD3A,ATAD3A,null,null,0.15029597
RPUSD4,RPUSD4,null,null,0.150153
ZNF485,ZNF485,null,null,0.15014295
ABHD14A,ABHD14A,null,null,0.15005398
AP000944.4,AP000944.4,null,null,0.1500452
ZNF337,ZNF337,null,null,0.14974713
NRROS,NRROS,null,null,0.14969213
PDCD11,PDCD11,null,null,0.14942136
ZC3HAV1L,ZC3HAV1L,null,null,0.1494143
GFOD1,GFOD1,null,null,0.14939666
ALDH3A2,ALDH3A2,null,null,0.14930874
PLTP,PLTP,null,null,0.14922902
MRPS17,MRPS17,null,null,0.1491252
ALDH1B1,ALDH1B1,null,null,0.14891204
WDR43,WDR43,null,null,0.14890847
COQ3,COQ3,null,null,0.14888361
SIRT5,SIRT5,null,null,0.14877146
BCS1L,BCS1L,null,null,0.14872174
TMEM184A,TMEM184A,null,null,0.14867261
PFN2,PFN2,null,null,0.14862873
SLC11A2,SLC11A2,null,null,0.14856294
KHK,KHK,null,null,0.14855434
AC135050.7,AC135050.7,null,null,0.14840221
NETO2,NETO2,null,null,0.14831126
MAFK,MAFK,null,null,0.14824492
SNHG16,SNHG16,null,null,0.14792936
ZNHIT2,ZNHIT2,null,null,0.14782096
THAP4,THAP4,null,null,0.147735
GATM,GATM,null,null,0.14756197
BHLHE41,BHLHE41,null,null,0.14752239
GYG1,GYG1,null,null,0.1474826
NUP50-DT,NUP50-DT,null,null,0.14739919
GABPB1-AS1,GABPB1-AS1,null,null,0.14738996
ZFP36L2,ZFP36L2,null,null,0.14700751
RNASET2,RNASET2,null,null,0.1469783
TTLL12,TTLL12,null,null,0.14695108
DECR2,DECR2,null,null,0.14668877
AMPD2,AMPD2,null,null,0.14658871
TMEM177,TMEM177,null,null,0.14655913
ZNF330,ZNF330,null,null,0.14618634
CCDC86,CCDC86,null,null,0.14615482
YDJC,YDJC,null,null,0.14596304
NEAT1,NEAT1,null,null,0.14587879
MARS2,MARS2,null,null,0.14583457
HECW2,HECW2,null,null,0.14579014
KLHL21,KLHL21,null,null,0.14559175
LAPTM4B,LAPTM4B,null,null,0.14529453
MIR34AHG,MIR34AHG,null,null,0.14518584
CHAC2,CHAC2,null,null,0.14488834
MRM3,MRM3,null,null,0.14475596
TNFRSF21,TNFRSF21,null,null,0.1447071
EML5,EML5,null,null,0.14466164
ASS1,ASS1,null,null,0.14426528
CEP128,CEP128,null,null,0.14420061
TSR1,TSR1,null,null,0.14393297
FAM117B,FAM117B,null,null,0.14379963
CDC14B,CDC14B,null,null,0.14377767
HLTF,HLTF,null,null,0.1436449
GALNT3,GALNT3,null,null,0.14357214
CHID1,CHID1,null,null,0.14354093
ANGEL1,ANGEL1,null,null,0.14353411
ASB13,ASB13,null,null,0.14347215
C20orf27,C20orf27,null,null,0.14340833
MRPS2,MRPS2,null,null,0.14328818
NARS2,NARS2,null,null,0.14320642
TERT,TERT,null,null,0.14318393
RPUSD3,RPUSD3,null,null,0.14301515
COMTD1,COMTD1,null,null,0.14297669
NAA80,NAA80,null,null,0.14279166
MBTD1,MBTD1,null,null,0.14253971
LRRC8D,LRRC8D,null,null,0.14252327
C5orf30,C5orf30,null,null,0.14243855
AC097382.2,AC097382.2,null,null,0.14233322
SPIN3,SPIN3,null,null,0.1422866
PM20D2,PM20D2,null,null,0.14219761
FMC1,FMC1,null,null,0.14207755
FAM189B,FAM189B,null,null,0.1420762
FAM234B,FAM234B,null,null,0.14198385
TRIP13,TRIP13,null,null,0.14196834
PHLDA3,PHLDA3,null,null,0.14186452
AC005841.1,AC005841.1,null,null,0.14171906
TYSND1,TYSND1,null,null,0.14170793
XPOT,XPOT,null,null,0.14159617
POLR1B,POLR1B,null,null,0.14143704
PACRGL,PACRGL,null,null,0.14130235
CERS6-AS1,CERS6-AS1,null,null,0.14128383
POLR3E,POLR3E,null,null,0.14107785
VAT1,VAT1,null,null,0.14090674
MTIF2,MTIF2,null,null,0.14088732
DPCD,DPCD,null,null,0.14082345
SOD2,SOD2,null,null,0.14080322
RPUSD1,RPUSD1,null,null,0.14068525
TMEM186,TMEM186,null,null,0.14059764
MGST2,MGST2,null,null,0.14023586
UBE3D,UBE3D,null,null,0.14023116
VEGFA,VEGFA,null,null,0.14003488
NDUFAF8,NDUFAF8,null,null,0.1400181
AC004477.1,AC004477.1,null,null,0.13994291
PYCR1,PYCR1,null,null,0.13992953
Z95115.1,Z95115.1,null,null,0.13989149
AC027228.2,AC027228.2,null,null,0.13987328
DDX51,DDX51,null,null,0.13986613
GEMIN5,GEMIN5,null,null,0.1398413
PYURF,PYURF,null,null,0.1396249
ACPP,ACPP,null,null,0.1395523
MCAM,MCAM,null,null,0.13912518
WDR19,WDR19,null,null,0.13911667
BAIAP3,BAIAP3,null,null,0.13903716
REC8,REC8,null,null,0.13898242
GAS5,GAS5,null,null,0.13888869
DCUN1D5,DCUN1D5,null,null,0.13878283
SAMD11,SAMD11,null,null,0.13869691
CDK18,CDK18,null,null,0.13865596
FRAT2,FRAT2,null,null,0.1386422
SLC25A26,SLC25A26,null,null,0.1385765
PVRIG,PVRIG,null,null,0.13810876
ANKS1A,ANKS1A,null,null,0.13808414
DVL1,DVL1,null,null,0.13806346
AC092647.5,AC092647.5,null,null,0.13788283
CLNS1A,CLNS1A,null,null,0.13785799
DFFB,DFFB,null,null,0.13781323
AC007191.1,AC007191.1,null,null,0.13778237
NDUFAF2,NDUFAF2,null,null,0.1377708
OAF,OAF,null,null,0.13774648
EEF2KMT,EEF2KMT,null,null,0.13773021
PGRMC1,PGRMC1,null,null,0.13769513
DUSP23,DUSP23,null,null,0.13769485
ATG16L2,ATG16L2,null,null,0.13763213
MAN1A1,MAN1A1,null,null,0.13744926
SLC25A37,SLC25A37,null,null,0.13742317
DDX10,DDX10,null,null,0.13733982
ANKZF1,ANKZF1,null,null,0.13716415
AVEN,AVEN,null,null,0.13710581
CTU1,CTU1,null,null,0.13685913
PIGU,PIGU,null,null,0.1367128
LIAS,LIAS,null,null,0.13662991
AC090360.1,AC090360.1,null,null,0.13662694
TCTN3,TCTN3,null,null,0.13643561
FBXL14,FBXL14,null,null,0.13637872
AFMID,AFMID,null,null,0.1362963
RNF13,RNF13,null,null,0.13620238
AC005224.3,AC005224.3,null,null,0.13605632
RGS14,RGS14,null,null,0.13604803
NOC2L,NOC2L,null,null,0.13601229
PGAP1,PGAP1,null,null,0.13597989
AC025423.4,AC025423.4,null,null,0.1358186
ILF3-DT,ILF3-DT,null,null,0.13579871
FKBP4,FKBP4,null,null,0.13558048
TBC1D14,TBC1D14,null,null,0.13549994
AC244205.1,AC244205.1,null,null,0.13544342
KDSR,KDSR,null,null,0.1353309
GHDC,GHDC,null,null,0.13526395
TFEC,TFEC,null,null,0.13518661
PINLYP,PINLYP,null,null,0.1350195
MYORG,MYORG,null,null,0.13477835
SNHG8,SNHG8,null,null,0.13473375
EEF1E1,EEF1E1,null,null,0.13468122
WDR27,WDR27,null,null,0.13458833
TMCO6,TMCO6,null,null,0.1344254
SLC29A1,SLC29A1,null,null,0.13438118
AMT,AMT,null,null,0.1343641
MRPS24,MRPS24,null,null,0.13408975
MEX3A,MEX3A,null,null,0.1340894
CRADD,CRADD,null,null,0.13405862
MFSD12,MFSD12,null,null,0.13402185
NUBPL,NUBPL,null,null,0.1340075
TRIT1,TRIT1,null,null,0.13396397
DNAJA3,DNAJA3,null,null,0.13396189
DPAGT1,DPAGT1,null,null,0.13392755
HES7,HES7,null,null,0.13388675
FAM136A,FAM136A,null,null,0.13388504
AIG1,AIG1,null,null,0.13387783
AP3S1,AP3S1,null,null,0.13386302
AC106882.1,AC106882.1,null,null,0.13374634
MCRIP2,MCRIP2,null,null,0.13369241
PEX5,PEX5,null,null,0.13351923
RAB3A,RAB3A,null,null,0.13346978
MRI1,MRI1,null,null,0.13338639
THAP2,THAP2,null,null,0.13329078
LXN,LXN,null,null,0.13317144
AC022400.6,AC022400.6,null,null,0.13311203
ESF1,ESF1,null,null,0.13308455
TMTC4,TMTC4,null,null,0.1330461
CEP83,CEP83,null,null,0.13303322
AC046185.3,AC046185.3,null,null,0.13282113
GCFC2,GCFC2,null,null,0.1325451
URGCP-MRPS24,URGCP-MRPS24,null,null,0.13252532
FHIT,FHIT,null,null,0.13247289
LDLRAD2,LDLRAD2,null,null,0.13242394
KBTBD6,KBTBD6,null,null,0.13234425
AKAP1,AKAP1,null,null,0.13228588
SOX12,SOX12,null,null,0.13202696
PTCD3,PTCD3,null,null,0.13192278
AC138028.4,AC138028.4,null,null,0.13171428
SLC66A3,SLC66A3,null,null,0.13167784
AC091180.3,AC091180.3,null,null,0.13165344
ADARB1,ADARB1,null,null,0.13160019
PTDSS1,PTDSS1,null,null,0.13147272
ALDH7A1,ALDH7A1,null,null,0.13134405
FAHD2A,FAHD2A,null,null,0.13129479
NDC1,NDC1,null,null,0.13100597
AC005786.3,AC005786.3,null,null,0.13086796
TMEM121,TMEM121,null,null,0.13069761
SUPV3L1,SUPV3L1,null,null,0.13053058
SCARB2,SCARB2,null,null,0.1304437
HABP4,HABP4,null,null,0.1304076
DPH5,DPH5,null,null,0.13038404
FAM86B3P,FAM86B3P,null,null,0.13037793
MANBA,MANBA,null,null,0.13033369
