ID,Description,GeneRatio,n,N,BgRatio,b,B,pvalue,p.adjust,qvalue,geneID,Count,EnrichmentScore,group,sample
GO:0006413,translational initiation,23/80,23,80,166/8164,166,8164,6.627707416218074e-21,3.561288118314512e-18,3.097581150316658e-18,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF4G1/DDX3X/EIF3K/EIF3E/EIF3L/EIF3B/KHDRBS1/PABPC1/EIF4E/EIF3F/EIF3D/NCBP1/RPS3/DDX1/EIF4G3/EIF3J/EIF4B/FMR1,23,14.1394578313253,GO BP,Co-IP
GO:0032204,regulation of telomere maintenance,9/80,9,80,74/8164,74,8164,3.475658639343458e-8,2.334484052759023e-6,2.0305163629848627e-6,USP7/UPF1/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,9,12.411486486486488,GO BP,Co-IP
GO:0006369,termination of RNA polymerase II transcription,4/80,4,80,34/8164,34,8164,3.170804876549512e-4,0.007199066846475794,0.00626169324768562,NCBP1/CPSF1/CPSF2/WDR33,4,12.005882352941176,GO BP,Co-IP
GO:0061014,positive regulation of mRNA catabolic process,4/80,4,80,35/8164,35,8164,3.5534432379106395e-4,0.007846781506180756,0.00682507050165389,PABPC1/UPF1/HNRNPD/DHX36,4,11.662857142857144,GO BP,Co-IP
GO:0017148,negative regulation of translation,11/80,11,80,99/8164,99,8164,2.4864430196581504e-9,2.004073073844469e-7,1.7431274222024508e-7,EIF4G1/DDX3X/EIF3E/EIF4E/UPF1/CAPRIN1/RPS3/HNRNPD/EIF4A3/DHX36/FMR1,11,11.33888888888889,GO BP,Co-IP
GO:0045727,positive regulation of translation,10/80,10,80,91/8164,91,8164,1.5544671725935713e-8,1.1390004919185621e-6,9.90693910954372e-7,DDX3X/EIF3E/KHDRBS1/PABPC1/EIF3D/HNRNPD/EIF4A3/LARP4B/DHX36/FMR1,10,11.214285714285715,GO BP,Co-IP
GO:0031124,mRNA 3'-end processing,9/80,9,80,89/8164,89,8164,1.775970311617691e-7,8.420188653905053e-6,7.323815650386268e-6,PABPC1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/DHX36/MAGOH,9,10.319662921348314,GO BP,Co-IP
GO:0034249,negative regulation of cellular amide metabolic process,11/80,11,80,109/8164,109,8164,6.99902382665991e-9,5.372584004083703e-7,4.6730324496797e-7,EIF4G1/DDX3X/EIF3E/EIF4E/UPF1/CAPRIN1/RPS3/HNRNPD/EIF4A3/DHX36/FMR1,11,10.29862385321101,GO BP,Co-IP
GO:0032508,DNA duplex unwinding,6/80,6,80,60/8164,60,8164,2.406191532318334e-5,7.18292731499473e-4,6.247655206721289e-4,DDX3X/DDX1/NBN/RAD50/MRE11/DHX36,6,10.205,GO BP,Co-IP
GO:0034250,positive regulation of cellular amide metabolic process,10/80,10,80,101/8164,101,8164,4.295493447797773e-8,2.7697341751400043e-6,2.409093588407004e-6,DDX3X/EIF3E/KHDRBS1/PABPC1/EIF3D/HNRNPD/EIF4A3/LARP4B/DHX36/FMR1,10,10.103960396039604,GO BP,Co-IP
GO:0022618,ribonucleoprotein complex assembly,20/80,20,80,204/8164,204,8164,3.3661989572874564e-15,6.782890898934225e-13,5.899706593561701e-13,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/DDX3X/EIF3K/EIF3E/EIF3L/EIF3B/ATXN2L/EIF3F/EIF3D/PRMT5/NCBP1/DDX1/ATXN2/EIF3J/G3BP2/EIF4B,20,10.004901960784313,GO BP,Co-IP
GO:0006406,mRNA export from nucleus,10/80,10,80,103/8164,103,8164,5.1921559223280514e-8,2.989198338140292e-6,2.5999818377973555e-6,EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,10,9.907766990291261,GO BP,Co-IP
GO:0071427,mRNA-containing ribonucleoprotein complex export from nucleus,10/80,10,80,103/8164,103,8164,5.1921559223280514e-8,2.989198338140292e-6,2.5999818377973555e-6,EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,10,9.907766990291261,GO BP,Co-IP
GO:0051028,mRNA transport,13/80,13,80,134/8164,134,8164,4.313282562702786e-10,4.090006759456995e-8,3.5574565780310286e-8,EIF4E/UPF1/HNRNPA3/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/G3BP2/UPF2/FMR1/MAGOH,13,9.900373134328358,GO BP,Co-IP
GO:0006417,regulation of translation,25/80,25,80,259/8164,259,8164,8.32919417109865e-19,3.356665250952756e-16,2.919601746290369e-16,EIF3H/EIF4G1/DDX3X/EIF3K/EIF3E/EIF3B/KHDRBS1/PABPC1/EIF4E/UPF1/CAPRIN1/EIF3D/NCBP1/RPS3/HNRNPD/DDX1/EIF4A3/CASC3/EIF4G3/ATXN2/LARP4B/DHX36/EIF4B/FMR1/MAGOH,25,9.8503861003861,GO BP,Co-IP
GO:0071826,ribonucleoprotein complex subunit organization,20/80,20,80,216/8164,216,8164,1.023704275078378e-14,1.8335681015848283e-12,1.5948235022273678e-12,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/DDX3X/EIF3K/EIF3E/EIF3L/EIF3B/ATXN2L/EIF3F/EIF3D/PRMT5/NCBP1/DDX1/ATXN2/EIF3J/G3BP2/EIF4B,20,9.449074074074074,GO BP,Co-IP
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",10/80,10,80,108/8164,108,8164,8.193719836627475e-8,4.554578060911548e-6,3.961537140612631e-6,EIF4G1/EIF3E/PABPC1/UPF1/NCBP1/RPS3/EIF4A3/CASC3/UPF2/MAGOH,10,9.449074074074074,GO BP,Co-IP
GO:1903313,positive regulation of mRNA metabolic process,5/80,5,80,57/8164,57,8164,2.2383839153958512e-4,0.005229383871910308,0.004548478070644202,PABPC1/UPF1/NCBP1/HNRNPD/DHX36,5,8.951754385964913,GO BP,Co-IP
GO:0032392,DNA geometric change,6/80,6,80,69/8164,69,8164,5.372182192036514e-5,0.001443969597102056,0.0012559537046754202,DDX3X/DDX1/NBN/RAD50/MRE11/DHX36,6,8.873913043478261,GO BP,Co-IP
GO:0034248,regulation of cellular amide metabolic process,25/80,25,80,290/8164,290,8164,1.3034169343223466e-17,3.5018468302127046e-15,3.045879572837484e-15,EIF3H/EIF4G1/DDX3X/EIF3K/EIF3E/EIF3B/KHDRBS1/PABPC1/EIF4E/UPF1/CAPRIN1/EIF3D/NCBP1/RPS3/HNRNPD/DDX1/EIF4A3/CASC3/EIF4G3/ATXN2/LARP4B/DHX36/EIF4B/FMR1/MAGOH,25,8.797413793103448,GO BP,Co-IP
GO:0050657,nucleic acid transport,15/80,15,80,174/8164,174,8164,9.240685469909521e-11,1.1458449982687807e-8,9.966472101959096e-9,KHDRBS1/EIF4E/UPF1/HNRNPA3/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/ATXN2/WDR33/G3BP2/UPF2/FMR1/MAGOH,15,8.797413793103448,GO BP,Co-IP
GO:0050658,RNA transport,15/80,15,80,174/8164,174,8164,9.240685469909521e-11,1.1458449982687807e-8,9.966472101959096e-9,KHDRBS1/EIF4E/UPF1/HNRNPA3/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/ATXN2/WDR33/G3BP2/UPF2/FMR1/MAGOH,15,8.797413793103448,GO BP,Co-IP
GO:0051236,establishment of RNA localization,15/80,15,80,177/8164,177,8164,1.179927365142662e-10,1.3586020804356936e-8,1.1817016920075382e-8,KHDRBS1/EIF4E/UPF1/HNRNPA3/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/ATXN2/WDR33/G3BP2/UPF2/FMR1/MAGOH,15,8.648305084745763,GO BP,Co-IP
GO:0006405,RNA export from nucleus,11/80,11,80,130/8164,130,8164,4.496875905923349e-8,2.788063061672476e-6,2.425035913639636e-6,KHDRBS1/EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,11,8.635000000000002,GO BP,Co-IP
GO:0071426,ribonucleoprotein complex export from nucleus,10/80,10,80,122/8164,122,8164,2.612068966744606e-7,1.2030443355406585e-5,1.0463987560011474e-5,EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,10,8.364754098360656,GO BP,Co-IP
GO:0071166,ribonucleoprotein complex localization,10/80,10,80,123/8164,123,8164,2.820932810813556e-7,1.2631510252865145e-5,1.0986790947379115e-5,EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,10,8.296747967479675,GO BP,Co-IP
GO:0006403,RNA localization,16/80,16,80,210/8164,210,8164,1.3093519364245722e-10,1.4071168810109403e-8,1.2238994942579161e-8,KHDRBS1/EIF4E/UPF1/HNRNPA3/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/ATXN2/WDR33/G3BP2/UPF2/DHX36/FMR1/MAGOH,16,7.7752380952380955,GO BP,Co-IP
GO:0015931,nucleobase-containing compound transport,15/80,15,80,199/8164,199,8164,6.199155468580342e-10,5.551688119639728e-8,4.8288158386836347e-8,KHDRBS1/EIF4E/UPF1/HNRNPA3/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/ATXN2/WDR33/G3BP2/UPF2/FMR1/MAGOH,15,7.692211055276382,GO BP,Co-IP
GO:0043488,regulation of mRNA stability,7/80,7,80,94/8164,94,8164,3.43231588794478e-5,0.0010059805838849064,8.749942129650617e-4,EIF4G1/PABPC1/UPF1/PABPC4/HNRNPD/DHX36/FMR1,7,7.599468085106383,GO BP,Co-IP
GO:0010608,posttranscriptional regulation of gene expression,27/80,27,80,374/8164,374,8164,4.634479171129355e-17,1.0672543462657885e-14,9.282896625480152e-15,EIF3H/EIF4G1/DDX3X/EIF3K/EIF3E/EIF3B/KHDRBS1/PABPC1/EIF4E/UPF1/PABPC4/CAPRIN1/EIF3D/MATR3/NCBP1/RPS3/HNRNPD/DDX1/EIF4A3/CASC3/EIF4G3/ATXN2/LARP4B/DHX36/EIF4B/FMR1/MAGOH,27,7.367245989304813,GO BP,Co-IP
GO:0031123,RNA 3'-end processing,9/80,9,80,127/8164,127,8164,3.669489001385948e-6,1.2585566532413082e-4,1.0946829450943076e-4,PABPC1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/DHX36/MAGOH,9,7.231889763779528,GO BP,Co-IP
GO:0043487,regulation of RNA stability,7/80,7,80,102/8164,102,8164,5.815817660324756e-5,0.0014953627210037843,0.0013006550505269955,EIF4G1/PABPC1/UPF1/PABPC4/HNRNPD/DHX36/FMR1,7,7.003431372549019,GO BP,Co-IP
GO:0000723,telomere maintenance,9/80,9,80,132/8164,132,8164,5.049913610490811e-6,1.6959293208564975e-4,1.475106344117053e-4,USP7/UPF1/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,9,6.9579545454545455,GO BP,Co-IP
GO:0032200,telomere organization,9/80,9,80,134/8164,134,8164,5.71552024163363e-6,1.880289516227227e-4,1.6354614311183665e-4,USP7/UPF1/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,9,6.854104477611941,GO BP,Co-IP
GO:0061013,regulation of mRNA catabolic process,7/80,7,80,110/8164,110,8164,9.41243008861316e-5,0.0022989147428552144,0.001999578449447006,EIF4G1/PABPC1/UPF1/PABPC4/HNRNPD/DHX36/FMR1,7,6.494090909090909,GO BP,Co-IP
GO:0051168,nuclear export,11/80,11,80,173/8164,173,8164,8.307160400295672e-7,3.2661323329942984e-5,2.8408569071100992e-5,KHDRBS1/EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,11,6.488728323699423,GO BP,Co-IP
GO:0006611,protein export from nucleus,10/80,10,80,159/8164,159,8164,3.019069021972303e-6,1.0579867963955113e-4,9.202288185965922e-5,EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,10,6.418238993710691,GO BP,Co-IP
GO:0000956,nuclear-transcribed mRNA catabolic process,11/80,11,80,185/8164,185,8164,1.615145331057093e-6,6.199081603961985e-5,5.391913736762025e-5,EIF4G1/EIF3E/PABPC1/UPF1/NCBP1/RPS3/EIF4A3/CASC3/UPF2/DHX36/MAGOH,11,6.067837837837838,GO BP,Co-IP
GO:2001252,positive regulation of chromosome organization,8/80,8,80,137/8164,137,8164,5.374576664151573e-5,0.001443969597102056,0.0012559537046754202,HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36/FMR1,8,5.959124087591242,GO BP,Co-IP
GO:0022613,ribonucleoprotein complex biogenesis,22/80,22,80,399/8164,399,8164,1.6095750144900443e-11,2.3587590212345013e-9,2.0516305447853964e-9,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/DDX3X/EIF3K/EIF3E/EIF3L/EIF3B/ATXN2L/EIF3F/EIF3D/PRMT5/DDX17/NCBP1/DDX1/EIF4A3/ATXN2/EIF3J/G3BP2/EIF4B,22,5.6268170426065165,GO BP,Co-IP
GO:0006402,mRNA catabolic process,14/80,14,80,258/8164,258,8164,1.628191056166195e-7,7.953466613757293e-6,6.9178643917491926e-6,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,5.5375968992248055,GO BP,Co-IP
GO:0051054,positive regulation of DNA metabolic process,9/80,9,80,168/8164,168,8164,3.539315606011666e-5,0.001018817278016215,8.861594712796127e-4,USP7/RPS3/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,9,5.466964285714286,GO BP,Co-IP
GO:1903311,regulation of mRNA metabolic process,11/80,11,80,212/8164,212,8164,6.079400611653958e-6,1.9599987571972363e-4,1.704791918889068e-4,EIF4G1/KHDRBS1/PABPC1/UPF1/PABPC4/DDX17/NCBP1/HNRNPD/DHX36/FMR1/MAGOH,11,5.295047169811321,GO BP,Co-IP
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",15/80,15,80,292/8164,292,8164,1.1412479061079333e-7,5.934489111761254e-6,5.161773212006001e-6,KHDRBS1/PABPC1/PRMT5/HNRNPA3/DDX17/NCBP1/HNRNPD/DDX1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/FMR1/MAGOH,15,5.2422945205479445,GO BP,Co-IP
GO:0000398,"mRNA splicing, via spliceosome",15/80,15,80,292/8164,292,8164,1.1412479061079333e-7,5.934489111761254e-6,5.161773212006001e-6,KHDRBS1/PABPC1/PRMT5/HNRNPA3/DDX17/NCBP1/HNRNPD/DDX1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/FMR1/MAGOH,15,5.2422945205479445,GO BP,Co-IP
GO:0000375,"RNA splicing, via transesterification reactions",15/80,15,80,295/8164,295,8164,1.304981041216477e-7,6.573841995128003e-6,5.717877456909039e-6,KHDRBS1/PABPC1/PRMT5/HNRNPA3/DDX17/NCBP1/HNRNPD/DDX1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/FMR1/MAGOH,15,5.188983050847458,GO BP,Co-IP
GO:0006401,RNA catabolic process,14/80,14,80,285/8164,285,8164,5.50981988701105e-7,2.220457414465453e-5,1.931336865657558e-5,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,5.01298245614035,GO BP,Co-IP
GO:0031503,protein-containing complex localization,10/80,10,80,212/8164,212,8164,3.7980045907019484e-5,0.0010692322258201998,9.300100070474771e-4,EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/UPF2/MAGOH,10,4.813679245283018,GO BP,Co-IP
GO:0008380,RNA splicing,16/80,16,80,367/8164,367,8164,3.8776621454036437e-7,1.644945099576493e-5,1.4307606586364693e-5,KHDRBS1/PABPC1/PRMT5/HNRNPA3/DDX17/NCBP1/HNRNPD/DDX1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/SUGP2/FMR1/MAGOH,16,4.449046321525886,GO BP,Co-IP
GO:0006913,nucleocytoplasmic transport,12/80,12,80,281/8164,281,8164,1.6256435179458697e-5,5.039494905632196e-4,4.3833141010200376e-4,KHDRBS1/EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/PPP1R10/CASC3/WDR33/UPF2/MAGOH,12,4.358007117437722,GO BP,Co-IP
GO:0051169,nuclear transport,12/80,12,80,284/8164,284,8164,1.808187155198516e-5,5.499618290905674e-4,4.783525900147812e-4,KHDRBS1/EIF4E/UPF1/NCBP1/CPSF1/CPSF2/EIF4A3/PPP1R10/CASC3/WDR33/UPF2/MAGOH,12,4.311971830985915,GO BP,Co-IP
GO:0006397,mRNA processing,17/80,17,80,423/8164,423,8164,5.021944630864894e-7,2.075737114090823e-5,1.8054602559546665e-5,KHDRBS1/PABPC1/PRMT5/HNRNPA3/DDX17/NCBP1/HNRNPD/DDX1/CPSF1/CPSF2/EIF4A3/CASC3/WDR33/DHX36/SUGP2/FMR1/MAGOH,17,4.10130023640662,GO BP,Co-IP
GO:0060249,anatomical structure homeostasis,9/80,9,80,235/8164,235,8164,4.5536075497541994e-4,0.009787220493605026,0.008512849482487851,USP7/UPF1/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,9,3.908297872340426,GO BP,Co-IP
GO:0033044,regulation of chromosome organization,10/80,10,80,272/8164,272,8164,2.9989395238281657e-4,0.00690612930344429,0.006006898414645289,USP7/UPF1/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36/FMR1,10,3.7518382352941173,GO BP,Co-IP
GO:0043254,regulation of protein complex assembly,10/80,10,80,277/8164,277,8164,3.4693057187408033e-4,0.0077673900258474655,0.006756016399653144,EIF4G1/DDX3X/TRIM27/ATXN2L/CARMIL1/CAPZA1/RPS3/ARHGEF2/ATXN2/DHX36,10,3.684115523465704,GO BP,Co-IP
GO:0051052,regulation of DNA metabolic process,11/80,11,80,307/8164,307,8164,1.8337624476060449e-4,0.0043470956846190355,0.003781070557602557,USP7/UPF1/PRMT5/RPS3/HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,11,3.6565146579804564,GO BP,Co-IP
GO:0034655,nucleobase-containing compound catabolic process,14/80,14,80,411/8164,411,8164,3.8471134675912896e-5,0.0010692322258201998,9.300100070474771e-4,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,3.476155717761557,GO BP,Co-IP
GO:0046700,heterocycle catabolic process,14/80,14,80,426/8164,426,8164,5.696912828233252e-5,0.0014953627210037843,0.0013006550505269955,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,3.3537558685446007,GO BP,Co-IP
GO:0044270,cellular nitrogen compound catabolic process,14/80,14,80,427/8164,427,8164,5.844159517570621e-5,0.0014953627210037843,0.0013006550505269955,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,3.345901639344262,GO BP,Co-IP
GO:0019439,aromatic compound catabolic process,14/80,14,80,429/8164,429,8164,6.148701156748428e-5,0.0015487041038560103,0.0013470509771034388,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,3.33030303030303,GO BP,Co-IP
GO:1901361,organic cyclic compound catabolic process,14/80,14,80,440/8164,440,8164,8.085440192358305e-5,0.0020051891677048597,0.0017440981921006094,EIF4G1/EIF3E/PABPC1/UPF1/PABPC4/NCBP1/RPS3/HNRNPD/EIF4A3/CASC3/UPF2/DHX36/FMR1/MAGOH,14,3.2470454545454546,GO BP,Co-IP
GO:0005852,eukaryotic translation initiation factor 3 complex,13/80,13,80,14/8478,14,8478,2.3544329674834328e-26,4.638232945942363e-24,3.816659757815249e-24,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/DDX3X/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J,13,98.40535714285714,GO CC,Co-IP
GO:0033290,eukaryotic 48S preinitiation complex,12/80,12,80,13/8478,13,8478,2.72171532396137e-24,2.6808895941019493e-22,2.206021894158163e-22,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J,12,97.82307692307693,GO CC,Co-IP
GO:0016282,eukaryotic 43S preinitiation complex,12/80,12,80,15/8478,15,8478,9.385256816879563e-23,6.162985309750914e-21,5.071331753682291e-21,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J,12,84.78,GO CC,Co-IP
GO:0070993,translation preinitiation complex,12/80,12,80,16/8478,16,8478,3.7262633485178975e-22,1.8351846991450646e-20,1.5101172517677795e-20,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J,12,79.48125,GO CC,Co-IP
GO:0035145,exon-exon junction complex,6/80,6,80,20/8478,20,8478,2.0365418498888342e-8,4.4577638269788926e-7,3.66815725009217e-7,UPF1/EIF4A3/CASC3/TDRD3/UPF2/MAGOH,6,31.792499999999997,GO CC,Co-IP
GO:0034518,RNA cap binding complex,3/80,3,80,10/8478,10,8478,9.257694375892376e-5,0.0014028967631159984,0.0011544007561841505,EIF4E/NCBP1/FMR1,3,31.792499999999997,GO CC,Co-IP
GO:0010494,cytoplasmic stress granule,13/80,13,80,48/8478,48,8478,2.524013484429633e-16,9.9446131286527525e-15,8.18311740215081e-15,DDX3X/ATXN2L/PABPC1/EIF4E/NUFIP2/PABPC4/CAPRIN1/DDX1/CASC3/ATXN2/LARP4B/DHX36/FMR1,13,28.7015625,GO CC,Co-IP
GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,3/80,3,80,16/8478,16,8478,4.1472010689148453e-4,0.005835704361258747,0.004802022290322453,CPSF1/CPSF2/WDR33,3,19.8703125,GO CC,Co-IP
GO:0042788,polysomal ribosome,4/80,4,80,25/8478,25,8478,7.99817262267307e-5,0.001313033338888829,0.0010804548981505726,EIF3H/NUFIP2/LARP4B/FMR1,4,16.956,GO CC,Co-IP
GO:0005844,polysome,9/80,9,80,60/8478,60,8478,3.751136703086251e-9,9.237174131349894e-8,7.600987529937931e-8,EIF3H/EIF4G1/NUFIP2/RPS3/ATXN2/LARP4B/UPF2/EIF4B/FMR1,9,15.896250000000002,GO CC,Co-IP
GO:0036464,cytoplasmic ribonucleoprotein granule,16/80,16,80,154/8478,154,8478,6.359493186621396e-13,1.7897430825205926e-11,1.4727247379544287e-11,DDX3X/ATXN2L/PABPC1/EIF4E/UPF1/NUFIP2/PABPC4/CAPRIN1/DDX1/TRIM21/CASC3/ATXN2/LARP4B/UPF2/DHX36/FMR1,16,11.01038961038961,GO CC,Co-IP
GO:0035770,ribonucleoprotein granule,17/80,17,80,166/8478,166,8478,1.4006018910628788e-13,4.5986428756564526e-12,3.784082302169884e-12,DDX3X/ATXN2L/PABPC1/EIF4E/UPF1/NUFIP2/PABPC4/CAPRIN1/HNRNPA3/DDX1/TRIM21/CASC3/ATXN2/LARP4B/UPF2/DHX36/FMR1,17,10.852861445783134,GO CC,Co-IP
GO:0000784,"nuclear chromosome, telomeric region",7/80,7,80,100/8478,100,8478,4.039824265830294e-5,7.234958003350618e-4,5.953425233855171e-4,UPF1/PPP1R10/TOX4/WDR82/NBN/RAD50/MRE11,7,7.41825,GO CC,Co-IP
